ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,628,0,0,success
hugo,10,2,375,0,0,success
hugo,10,3,370,0,0,success
hugo,100,1,1069,0,0,success
hugo,100,2,1071,0,0,success
hugo,100,3,1083,0,0,success
hugo,1000,1,7687,0,0,success
hugo,1000,2,7896,0,0,success
hugo,1000,3,8048,0,0,success
hugo,5000,1,36451,0,0,success
hugo,5000,2,43678,0,0,success
hugo,5000,3,47331,0,0,success
zola,10,1,3989,0,0,success
zola,10,2,333,0,0,success
zola,10,3,311,0,0,success
zola,100,1,789,0,0,success
zola,100,2,726,0,0,success
zola,100,3,749,0,0,success
zola,1000,1,4298,0,0,success
zola,1000,2,4486,0,0,success
zola,1000,3,4401,0,0,success
zola,5000,1,19971,0,0,success
zola,5000,2,19725,0,0,success
zola,5000,3,21094,0,0,success
jekyll,10,1,1209,0,0,success
jekyll,10,2,617,0,0,success
jekyll,10,3,627,0,0,success
jekyll,100,1,1630,0,0,success
jekyll,100,2,1326,0,0,success
jekyll,100,3,2210,0,0,success
jekyll,1000,1,13508,0,0,success
jekyll,1000,2,12604,0,0,success
jekyll,1000,3,10667,0,0,success
jekyll,5000,1,49226,0,0,success
jekyll,5000,2,42815,0,0,success
jekyll,5000,3,46373,0,0,success
hwaro,10,1,343,0,0,success
hwaro,10,2,297,0,0,success
hwaro,10,3,289,0,0,success
hwaro,100,1,758,0,0,success
hwaro,100,2,814,0,0,success
hwaro,100,3,757,0,0,success
hwaro,1000,1,7261,0,0,success
hwaro,1000,2,7435,0,0,success
hwaro,1000,3,8521,0,0,success
hwaro,5000,1,29796,0,0,success
hwaro,5000,2,30526,0,0,success
hwaro,5000,3,33905,0,0,success
