ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,409,0,0,success
hugo,10,2,321,0,0,success
hugo,10,3,298,0,0,success
hugo,100,1,497,0,0,success
hugo,100,2,500,0,0,success
hugo,100,3,480,0,0,success
hugo,1000,1,3267,0,0,success
hugo,1000,2,2186,0,0,success
hugo,1000,3,2390,0,0,success
hugo,5000,1,9917,0,0,success
hugo,5000,2,9973,0,0,success
hugo,5000,3,9923,0,0,success
zola,10,1,295,0,0,success
zola,10,2,298,0,0,success
zola,10,3,314,0,0,success
zola,100,1,347,0,0,success
zola,100,2,337,0,0,success
zola,100,3,356,0,0,success
zola,1000,1,1033,0,0,success
zola,1000,2,1027,0,0,success
zola,1000,3,1168,0,0,success
zola,5000,1,4555,0,0,success
zola,5000,2,4203,0,0,success
zola,5000,3,4202,0,0,success
jekyll,10,1,684,0,0,success
jekyll,10,2,555,0,0,success
jekyll,10,3,534,0,0,success
jekyll,100,1,776,0,0,success
jekyll,100,2,680,0,0,success
jekyll,100,3,680,0,0,success
jekyll,1000,1,2762,0,0,success
jekyll,1000,2,1894,0,0,success
jekyll,1000,3,1862,0,0,success
jekyll,5000,1,12134,0,0,success
jekyll,5000,2,7451,0,0,success
jekyll,5000,3,7707,0,0,success
hwaro,10,1,282,0,0,success
hwaro,10,2,285,0,0,success
hwaro,10,3,262,0,0,success
hwaro,100,1,390,0,0,success
hwaro,100,2,364,0,0,success
hwaro,100,3,394,0,0,success
hwaro,1000,1,1556,0,0,success
hwaro,1000,2,1519,0,0,success
hwaro,1000,3,1382,0,0,success
hwaro,5000,1,8137,0,0,success
hwaro,5000,2,6540,0,0,success
hwaro,5000,3,5876,0,0,success
eleventy,10,1,736,0,0,success
eleventy,10,2,598,0,0,success
eleventy,10,3,608,0,0,success
eleventy,100,1,777,0,0,success
eleventy,100,2,799,0,0,success
eleventy,100,3,806,0,0,success
eleventy,1000,1,2700,0,0,success
eleventy,1000,2,2528,0,0,success
eleventy,1000,3,2521,0,0,success
eleventy,5000,1,11314,0,0,success
eleventy,5000,2,10370,0,0,success
eleventy,5000,3,10354,0,0,success
pelican,10,1,560,0,0,success
pelican,10,2,540,0,0,success
pelican,10,3,560,0,0,success
pelican,100,1,740,0,0,success
pelican,100,2,870,0,0,success
pelican,100,3,749,0,0,success
pelican,1000,1,2641,0,0,success
pelican,1000,2,2845,0,0,success
pelican,1000,3,2696,0,0,success
pelican,5000,1,12583,0,0,success
pelican,5000,2,12261,0,0,success
pelican,5000,3,12237,0,0,success
hexo,10,1,787,0,0,success
hexo,10,2,677,0,0,success
hexo,10,3,631,0,0,success
hexo,100,1,977,0,0,success
hexo,100,2,1034,0,0,success
hexo,100,3,818,0,0,success
hexo,1000,1,4368,0,0,success
hexo,1000,2,2468,0,0,success
hexo,1000,3,2532,0,0,success
hexo,5000,1,45414,0,0,success
hexo,5000,2,24131,0,0,success
hexo,5000,3,23828,0,0,success
gatsby,10,1,50804,0,0,success
gatsby,10,2,39332,0,0,success
gatsby,10,3,39071,0,0,success
gatsby,100,1,51678,0,0,success
gatsby,100,2,40748,0,0,success
gatsby,100,3,39991,0,0,success
gatsby,1000,1,59690,0,0,success
gatsby,1000,2,48766,0,0,success
gatsby,1000,3,47465,0,0,success
gatsby,5000,1,83161,0,0,success
gatsby,5000,2,71598,0,0,success
gatsby,5000,3,71352,0,0,success
astro,10,1,3144,0,0,success
astro,10,2,2525,0,0,success
astro,10,3,2545,0,0,success
astro,100,1,4093,0,0,success
astro,100,2,4008,0,0,success
astro,100,3,3902,0,0,success
astro,1000,1,16108,0,0,success
astro,1000,2,15702,0,0,success
astro,1000,3,15680,0,0,success
astro,5000,1,82759,0,0,success
astro,5000,2,86649,0,0,success
astro,5000,3,86318,0,0,success
docusaurus,10,1,2743,0,0,failed
docusaurus,10,2,2341,0,0,failed
docusaurus,10,3,2367,0,0,failed
docusaurus,100,1,2681,0,0,failed
docusaurus,100,2,2347,0,0,failed
docusaurus,100,3,2672,0,0,failed
docusaurus,1000,1,2726,0,0,failed
docusaurus,1000,2,2470,0,0,failed
docusaurus,1000,3,2515,0,0,failed
docusaurus,5000,1,3912,0,0,failed
docusaurus,5000,2,2929,0,0,failed
docusaurus,5000,3,2973,0,0,failed
