ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,580,0,0,success
hugo,10,2,622,0,0,success
hugo,100,1,1363,0,0,success
hugo,100,2,1545,0,0,success
zola,10,1,964,0,0,success
zola,10,2,686,0,0,success
zola,100,1,1902,0,0,success
zola,100,2,2074,0,0,success
jekyll,10,1,1490,0,0,success
jekyll,10,2,1805,0,0,success
jekyll,100,1,5832,0,0,success
jekyll,100,2,4076,0,0,success
hwaro,10,1,785,0,0,success
hwaro,10,2,885,0,0,success
hwaro,100,1,2719,0,0,success
hwaro,100,2,2721,0,0,success
