ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,942,0,0,success
hugo,10,2,707,0,0,success
hugo,10,3,679,0,0,success
hugo,100,1,1570,0,0,success
hugo,100,2,1685,0,0,success
hugo,100,3,1649,0,0,success
hugo,1000,1,11156,0,0,success
hugo,1000,2,11311,0,0,success
hugo,1000,3,11277,0,0,success
hugo,5000,1,63871,0,0,success
hugo,5000,2,95383,0,0,success
hugo,5000,3,84724,0,0,success
zola,10,1,4491,0,0,success
zola,10,2,746,0,0,success
zola,10,3,865,0,0,success
zola,100,1,1886,0,0,success
zola,100,2,1884,0,0,success
zola,100,3,2075,0,0,success
zola,1000,1,11433,0,0,success
zola,1000,2,13683,0,0,success
zola,1000,3,14646,0,0,success
zola,5000,1,63267,0,0,success
zola,5000,2,72840,0,0,success
zola,5000,3,71007,0,0,success
jekyll,10,1,6110,0,0,success
jekyll,10,2,2011,0,0,success
jekyll,10,3,1877,0,0,success
jekyll,100,1,7476,0,0,success
jekyll,100,2,5867,0,0,success
jekyll,100,3,6070,0,0,success
jekyll,1000,1,46810,0,0,success
jekyll,1000,2,44557,0,0,success
jekyll,1000,3,29989,0,0,success
jekyll,5000,1,201974,0,0,success
jekyll,5000,2,116479,0,0,success
jekyll,5000,3,116862,0,0,success
hwaro,10,1,2959,0,0,success
hwaro,10,2,771,0,0,success
hwaro,10,3,792,0,0,success
hwaro,100,1,2685,0,0,success
hwaro,100,2,2718,0,0,success
hwaro,100,3,2572,0,0,success
hwaro,1000,1,22365,0,0,success
hwaro,1000,2,22788,0,0,success
hwaro,1000,3,21995,0,0,success
hwaro,5000,1,116774,0,0,success
hwaro,5000,2,121970,0,0,success
hwaro,5000,3,129872,0,0,success
