ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
jekyll,blog,1000,1,1511,83588,1111,success,1000
hwaro,blog,1000,1,540,81480,1112,success,1000
eleventy,blog,1000,1,2091,183332,1111,success,1000
pelican,blog,1000,1,6511,59428,1110,success,1000
hexo,blog,1000,1,3722,369132,1111,success,1000
zola,blog,1000,2,1702,215232,1114,success,1000
jekyll,blog,1000,2,1372,84124,1111,success,1000
hwaro,blog,1000,2,478,81856,1112,success,1000
eleventy,blog,1000,2,2084,180708,1111,success,1000
pelican,blog,1000,2,6387,59444,1110,success,1000
hexo,blog,1000,2,3665,391736,1111,success,1000
hugo,blog,1000,2,1845,164092,1113,success,1000
jekyll,blog,1000,3,1386,83780,1111,success,1000
hwaro,blog,1000,3,448,78480,1112,success,1000
eleventy,blog,1000,3,2055,181624,1111,success,1000
pelican,blog,1000,3,6280,59424,1110,success,1000
hexo,blog,1000,3,3637,396624,1111,success,1000
hugo,blog,1000,3,2212,164860,1113,success,1000
zola,blog,1000,3,1686,215228,1114,success,1000
hugo,heavy,10,1,78,24776,24,success,10
zola,heavy,10,1,406,143404,25,success,10
jekyll,heavy,10,1,601,40248,22,success,10
hwaro,heavy,10,1,40,21144,23,success,10
eleventy,heavy,10,1,488,58900,22,success,10
pelican,heavy,10,1,461,34864,21,success,10
hexo,heavy,10,1,597,67908,22,success,10
zola,heavy,10,2,356,143180,25,success,10
jekyll,heavy,10,2,579,40312,22,success,10
hwaro,heavy,10,2,40,21896,23,success,10
eleventy,heavy,10,2,498,65288,22,success,10
pelican,heavy,10,2,455,34892,21,success,10
hexo,heavy,10,2,596,68356,22,success,10
hugo,heavy,10,2,73,24416,24,success,10
jekyll,heavy,10,3,576,40524,22,success,10
hwaro,heavy,10,3,41,20920,23,success,10
eleventy,heavy,10,3,502,60672,22,success,10
pelican,heavy,10,3,478,34788,21,success,10
hexo,heavy,10,3,608,68256,22,success,10
hugo,heavy,10,3,73,26288,24,success,10
zola,heavy,10,3,385,143212,25,success,10
hugo,heavy,100,1,261,45328,123,success,100
zola,heavy,100,1,1607,198728,124,success,100
jekyll,heavy,100,1,738,45200,121,success,100
hwaro,heavy,100,1,93,31660,122,success,100
eleventy,heavy,100,1,711,95524,121,success,100
pelican,heavy,100,1,1073,37472,120,success,100
hexo,heavy,100,1,973,110000,121,success,100
zola,heavy,100,2,1635,198580,124,success,100
jekyll,heavy,100,2,733,45172,121,success,100
hwaro,heavy,100,2,123,31392,122,success,100
eleventy,heavy,100,2,703,91072,121,success,100
pelican,heavy,100,2,1053,37452,120,success,100
hexo,heavy,100,2,991,108912,121,success,100
hugo,heavy,100,2,262,43356,123,success,100
jekyll,heavy,100,3,756,44980,121,success,100
hwaro,heavy,100,3,127,31632,122,success,100
eleventy,heavy,100,3,713,95224,121,success,100
pelican,heavy,100,3,1073,37704,120,success,100
hexo,heavy,100,3,978,107192,121,success,100
hugo,heavy,100,3,264,43216,123,success,100
zola,heavy,100,3,1566,198408,124,success,100
hugo,heavy,1000,1,2654,178464,1113,success,1000
zola,heavy,1000,1,125848,755768,1114,success,1000
jekyll,heavy,1000,1,2112,88720,1111,success,1000
hwaro,heavy,1000,1,2650,104268,1112,success,1000
eleventy,heavy,1000,1,3744,192224,1111,success,1000
pelican,heavy,1000,1,7156,61532,1110,success,1000
hexo,heavy,1000,1,5416,395040,1111,success,1000
zola,heavy,1000,2,121202,756956,1114,success,1000
jekyll,heavy,1000,2,1876,88336,1111,success,1000
hwaro,heavy,1000,2,2466,103532,1112,success,1000
eleventy,heavy,1000,2,2793,188052,1111,success,1000
pelican,heavy,1000,2,6667,61784,1110,success,1000
hexo,heavy,1000,2,5299,404488,1111,success,1000
hugo,heavy,1000,2,2471,178972,1113,success,1000
jekyll,heavy,1000,3,1947,88716,1111,success,1000
hwaro,heavy,1000,3,2477,105056,1112,success,1000
eleventy,heavy,1000,3,2826,187948,1111,success,1000
pelican,heavy,1000,3,6692,61472,1110,success,1000
hexo,heavy,1000,3,5324,403120,1111,success,1000
hugo,heavy,1000,3,2576,182320,1113,success,1000
zola,heavy,1000,3,120693,754504,1114,success,1000
