ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,42,15576,12,success,10
zola,minimal,10,1,20,14972,13,success,10
jekyll,minimal,10,1,523,36992,12,success,10
hwaro,minimal,10,1,27,13508,12,success,10
eleventy,minimal,10,1,426,54784,12,success,10
pelican,minimal,10,1,341,32792,11,success,10
hexo,minimal,10,1,405,42336,12,success,10
zola,minimal,10,2,20,15024,13,success,10
jekyll,minimal,10,2,522,37004,12,success,10
hwaro,minimal,10,2,26,14264,12,success,10
eleventy,minimal,10,2,443,54908,12,success,10
pelican,minimal,10,2,351,32428,11,success,10
hexo,minimal,10,2,403,42320,12,success,10
hugo,minimal,10,2,40,15512,12,success,10
jekyll,minimal,10,3,531,36680,12,success,10
hwaro,minimal,10,3,27,15524,12,success,10
eleventy,minimal,10,3,449,56840,12,success,10
pelican,minimal,10,3,358,32996,11,success,10
hexo,minimal,10,3,421,42736,12,success,10
hugo,minimal,10,3,46,15316,12,success,10
zola,minimal,10,3,21,15260,13,success,10
hugo,minimal,100,1,71,23828,102,success,100
zola,minimal,100,1,48,20612,103,success,100
jekyll,minimal,100,1,615,40192,102,success,100
hwaro,minimal,100,1,54,21920,102,success,100
eleventy,minimal,100,1,536,75216,102,success,100
pelican,minimal,100,1,560,33756,101,success,100
hexo,minimal,100,1,649,74380,102,success,100
zola,minimal,100,2,49,19800,103,success,100
jekyll,minimal,100,2,619,40076,102,success,100
hwaro,minimal,100,2,52,21828,102,success,100
eleventy,minimal,100,2,560,72152,102,success,100
pelican,minimal,100,2,586,33624,101,success,100
hexo,minimal,100,2,653,74560,102,success,100
hugo,minimal,100,2,73,24080,102,success,100
jekyll,minimal,100,3,619,40008,102,success,100
hwaro,minimal,100,3,51,21908,102,success,100
eleventy,minimal,100,3,549,67260,102,success,100
pelican,minimal,100,3,572,33624,101,success,100
hexo,minimal,100,3,652,70652,102,success,100
hugo,minimal,100,3,69,23992,102,success,100
zola,minimal,100,3,49,20004,103,success,100
hugo,minimal,1000,1,320,89956,1002,success,1000
zola,minimal,1000,1,339,75700,1003,success,1000
jekyll,minimal,1000,1,1140,64388,1002,success,1000
hwaro,minimal,1000,1,360,53696,1002,success,1000
eleventy,minimal,1000,1,1420,148336,1002,success,1000
pelican,minimal,1000,1,2771,42352,1001,success,1000
hexo,minimal,1000,1,2425,226740,1002,success,1000
zola,minimal,1000,2,344,71696,1003,success,1000
jekyll,minimal,1000,2,1185,63860,1002,success,1000
hwaro,minimal,1000,2,323,57044,1002,success,1000
eleventy,minimal,1000,2,1393,153844,1002,success,1000
pelican,minimal,1000,2,2639,42428,1001,success,1000
hexo,minimal,1000,2,2376,225028,1002,success,1000
hugo,minimal,1000,2,353,89184,1002,success,1000
jekyll,minimal,1000,3,1149,63888,1002,success,1000
hwaro,minimal,1000,3,353,53372,1002,success,1000
eleventy,minimal,1000,3,1385,150944,1002,success,1000
pelican,minimal,1000,3,2645,42232,1001,success,1000
hexo,minimal,1000,3,2350,228208,1002,success,1000
hugo,minimal,1000,3,348,85464,1002,success,1000
zola,minimal,1000,3,346,71940,1003,success,1000
hugo,blog,10,1,77,24304,24,success,10
zola,blog,10,1,349,137040,25,success,10
jekyll,blog,10,1,637,40328,22,success,10
hwaro,blog,10,1,40,20588,23,success,10
eleventy,blog,10,1,529,58496,22,success,10
pelican,blog,10,1,500,34872,21,success,10
hexo,blog,10,1,628,67224,22,success,10
zola,blog,10,2,328,137088,25,success,10
jekyll,blog,10,2,631,40320,22,success,10
hwaro,blog,10,2,37,17820,23,success,10
eleventy,blog,10,2,527,58344,22,success,10
pelican,blog,10,2,501,34776,21,success,10
hexo,blog,10,2,634,67136,22,success,10
hugo,blog,10,2,72,26440,24,success,10
jekyll,blog,10,3,661,40672,22,success,10
hwaro,blog,10,3,38,18668,23,success,10
eleventy,blog,10,3,522,64956,22,success,10
pelican,blog,10,3,498,34432,21,success,10
hexo,blog,10,3,625,67288,22,success,10
hugo,blog,10,3,71,24004,24,success,10
zola,blog,10,3,389,137068,25,success,10
hugo,blog,100,1,230,40896,123,success,100
zola,blog,100,1,506,144016,124,success,100
jekyll,blog,100,1,684,45464,121,success,100
hwaro,blog,100,1,96,30144,122,success,100
eleventy,blog,100,1,664,91660,121,success,100
pelican,blog,100,1,995,36752,120,success,100
hexo,blog,100,1,918,107236,121,success,100
zola,blog,100,2,508,143756,124,success,100
jekyll,blog,100,2,666,45452,121,success,100
hwaro,blog,100,2,77,30252,122,success,100
eleventy,blog,100,2,667,95460,121,success,100
pelican,blog,100,2,1037,36864,120,success,100
hexo,blog,100,2,929,108320,121,success,100
hugo,blog,100,2,229,40132,123,success,100
jekyll,blog,100,3,691,45416,121,success,100
hwaro,blog,100,3,73,30928,122,success,100
eleventy,blog,100,3,669,90516,121,success,100
pelican,blog,100,3,1006,37084,120,success,100
hexo,blog,100,3,935,107192,121,success,100
hugo,blog,100,3,242,40116,123,success,100
zola,blog,100,3,451,143516,124,success,100
hugo,blog,1000,1,1832,165388,1113,success,1000
zola,blog,1000,1,1878,219788,1114,success,1000
