ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
eleventy,blog,1000,2,2146,182056,1111,success,1000
pelican,blog,1000,2,6490,57756,1110,success,1000
hexo,blog,1000,2,3982,395120,1111,success,1000
hugo,blog,1000,2,1816,161384,1113,success,1000
jekyll,blog,1000,3,1458,83372,1111,success,1000
hwaro,blog,1000,3,606,77792,1112,success,1000
eleventy,blog,1000,3,2099,175028,1111,success,1000
pelican,blog,1000,3,6338,57788,1110,success,1000
hexo,blog,1000,3,3927,383328,1111,success,1000
hugo,blog,1000,3,1838,157212,1113,success,1000
zola,blog,1000,3,1654,215644,1114,success,1000
hugo,heavy,10,1,82,24456,24,success,10
zola,heavy,10,1,336,143336,25,success,10
jekyll,heavy,10,1,570,40120,22,success,10
hwaro,heavy,10,1,37,21748,23,success,10
eleventy,heavy,10,1,499,60664,22,success,10
pelican,heavy,10,1,432,33400,21,success,10
hexo,heavy,10,1,612,68020,22,success,10
zola,heavy,10,2,326,143152,25,success,10
jekyll,heavy,10,2,557,40128,22,success,10
hwaro,heavy,10,2,36,23272,23,success,10
eleventy,heavy,10,2,513,68496,22,success,10
pelican,heavy,10,2,432,33068,21,success,10
hexo,heavy,10,2,602,70220,22,success,10
hugo,heavy,10,2,70,26096,24,success,10
jekyll,heavy,10,3,557,40136,22,success,10
hwaro,heavy,10,3,40,20400,23,success,10
eleventy,heavy,10,3,519,63940,22,success,10
pelican,heavy,10,3,434,33100,21,success,10
hexo,heavy,10,3,606,70036,22,success,10
hugo,heavy,10,3,74,25872,24,success,10
zola,heavy,10,3,340,143272,25,success,10
hugo,heavy,100,1,255,41308,123,success,100
zola,heavy,100,1,1358,198420,124,success,100
jekyll,heavy,100,1,707,45244,121,success,100
hwaro,heavy,100,1,86,31220,122,success,100
eleventy,heavy,100,1,720,88720,121,success,100
pelican,heavy,100,1,1022,35820,120,success,100
hexo,heavy,100,1,974,108832,121,success,100
zola,heavy,100,2,1370,198584,124,success,100
jekyll,heavy,100,2,717,45248,121,success,100
hwaro,heavy,100,2,91,31476,122,success,100
eleventy,heavy,100,2,717,88608,121,success,100
pelican,heavy,100,2,1022,35884,120,success,100
hexo,heavy,100,2,983,108812,121,success,100
hugo,heavy,100,2,262,41100,123,success,100
jekyll,heavy,100,3,706,45232,121,success,100
hwaro,heavy,100,3,91,31592,122,success,100
eleventy,heavy,100,3,725,87564,121,success,100
pelican,heavy,100,3,1024,35940,120,success,100
hexo,heavy,100,3,988,111048,121,success,100
hugo,heavy,100,3,251,41216,123,success,100
zola,heavy,100,3,1332,198408,124,success,100
hugo,heavy,1000,1,2516,174040,1113,success,1000
zola,heavy,1000,1,105151,755692,1114,success,1000
jekyll,heavy,1000,1,2054,85924,1111,success,1000
hwaro,heavy,1000,1,2369,103676,1112,success,1000
eleventy,heavy,1000,1,2950,189952,1111,success,1000
pelican,heavy,1000,1,6825,59724,1110,success,1000
hexo,heavy,1000,1,5504,401088,1111,success,1000
zola,heavy,1000,2,106163,756740,1114,success,1000
jekyll,heavy,1000,2,2124,88332,1111,success,1000
hwaro,heavy,1000,2,2472,103020,1112,success,1000
eleventy,heavy,1000,2,3137,187968,1111,success,1000
pelican,heavy,1000,2,7089,59488,1110,success,1000
hexo,heavy,1000,2,5569,403140,1111,success,1000
hugo,heavy,1000,2,2618,180896,1113,success,1000
jekyll,heavy,1000,3,2097,88492,1111,success,1000
hwaro,heavy,1000,3,2384,102352,1112,success,1000
eleventy,heavy,1000,3,2978,187568,1111,success,1000
pelican,heavy,1000,3,6751,59684,1110,success,1000
hexo,heavy,1000,3,5595,395596,1111,success,1000
hugo,heavy,1000,3,2571,178556,1113,success,1000
zola,heavy,1000,3,107465,755652,1114,success,1000
