ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,538,0,0,success
hugo,10,2,399,0,0,success
hugo,10,3,368,0,0,success
hugo,100,1,1032,0,0,success
hugo,100,2,1037,0,0,success
hugo,100,3,1059,0,0,success
hugo,1000,1,8243,0,0,success
hugo,1000,2,7735,0,0,success
hugo,1000,3,7912,0,0,success
hugo,5000,1,37124,0,0,success
hugo,5000,2,38760,0,0,success
hugo,5000,3,42762,0,0,success
zola,10,1,1887,0,0,success
zola,10,2,329,0,0,success
zola,10,3,310,0,0,success
zola,100,1,666,0,0,success
zola,100,2,657,0,0,success
zola,100,3,685,0,0,success
zola,1000,1,4373,0,0,success
zola,1000,2,4640,0,0,success
zola,1000,3,4724,0,0,success
zola,5000,1,21117,0,0,success
zola,5000,2,22055,0,0,success
zola,5000,3,24874,0,0,success
jekyll,10,1,1453,0,0,success
jekyll,10,2,667,0,0,success
jekyll,10,3,676,0,0,success
jekyll,100,1,1752,0,0,success
jekyll,100,2,1557,0,0,success
jekyll,100,3,1513,0,0,success
jekyll,1000,1,14035,0,0,success
jekyll,1000,2,10048,0,0,success
jekyll,1000,3,9796,0,0,success
jekyll,5000,1,49348,0,0,success
jekyll,5000,2,43138,0,0,success
jekyll,5000,3,43481,0,0,success
hwaro,10,1,993,0,0,success
hwaro,10,2,307,0,0,success
hwaro,10,3,313,0,0,success
hwaro,100,1,898,0,0,success
hwaro,100,2,828,0,0,success
hwaro,100,3,893,0,0,success
hwaro,1000,1,6146,0,0,success
hwaro,1000,2,6319,0,0,success
hwaro,1000,3,6288,0,0,success
hwaro,5000,1,30476,0,0,success
hwaro,5000,2,31819,0,0,success
hwaro,5000,3,31660,0,0,success
eleventy,10,1,1237,0,0,failed
eleventy,10,2,623,0,0,failed
eleventy,10,3,574,0,0,failed
eleventy,100,1,928,0,0,failed
eleventy,100,2,1004,0,0,failed
eleventy,100,3,997,0,0,failed
eleventy,1000,1,4347,0,0,failed
eleventy,1000,2,4426,0,0,failed
eleventy,1000,3,4455,0,0,failed
eleventy,5000,1,18948,0,0,failed
eleventy,5000,2,19597,0,0,failed
eleventy,5000,3,19940,0,0,failed
pelican,10,1,683,0,0,success
pelican,10,2,647,0,0,success
pelican,10,3,631,0,0,success
pelican,100,1,1156,0,0,success
pelican,100,2,1189,0,0,success
pelican,100,3,1197,0,0,success
pelican,1000,1,6196,0,0,success
pelican,1000,2,6446,0,0,success
pelican,1000,3,6486,0,0,success
pelican,5000,1,32628,0,0,success
pelican,5000,2,29174,0,0,success
pelican,5000,3,29295,0,0,success
hexo,10,1,318,0,0,success
hexo,10,2,301,0,0,success
hexo,10,3,311,0,0,success
hexo,100,1,316,0,0,success
hexo,100,2,313,0,0,success
hexo,100,3,313,0,0,success
hexo,1000,1,292,0,0,success
hexo,1000,2,292,0,0,success
hexo,1000,3,280,0,0,success
hexo,5000,1,489,0,0,success
hexo,5000,2,370,0,0,success
hexo,5000,3,343,0,0,success
