ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
eleventy,heavy,10,1,290,61400,22,success,10
pelican,heavy,10,1,263,33228,21,success,10
hexo,heavy,10,1,342,67940,22,success,10
zola,heavy,10,2,234,143296,25,success,10
jekyll,heavy,10,2,346,40120,22,success,10
hwaro,heavy,10,2,25,21960,23,success,10
eleventy,heavy,10,2,302,63528,22,success,10
pelican,heavy,10,2,262,32928,21,success,10
hexo,heavy,10,2,338,67680,22,success,10
hugo,heavy,10,2,44,26396,24,success,10
jekyll,heavy,10,3,379,39964,22,success,10
hwaro,heavy,10,3,27,21680,23,success,10
eleventy,heavy,10,3,306,63976,22,success,10
pelican,heavy,10,3,266,33232,21,success,10
hexo,heavy,10,3,339,68224,22,success,10
hugo,heavy,10,3,46,23332,24,success,10
zola,heavy,10,3,245,142828,25,success,10
hugo,heavy,100,1,177,42784,123,success,100
zola,heavy,100,1,1014,198592,124,success,100
jekyll,heavy,100,1,434,45300,121,success,100
hwaro,heavy,100,1,60,31696,122,success,100
eleventy,heavy,100,1,427,90248,121,success,100
pelican,heavy,100,1,601,36112,120,success,100
hexo,heavy,100,1,560,108624,121,success,100
zola,heavy,100,2,1002,198340,124,success,100
jekyll,heavy,100,2,441,45072,121,success,100
hwaro,heavy,100,2,79,26324,122,success,100
eleventy,heavy,100,2,402,91844,121,success,100
pelican,heavy,100,2,576,35772,120,success,100
hexo,heavy,100,2,526,109168,121,success,100
hugo,heavy,100,2,156,43312,123,success,100
jekyll,heavy,100,3,422,45248,121,success,100
hwaro,heavy,100,3,74,31128,122,success,100
eleventy,heavy,100,3,415,89368,121,success,100
pelican,heavy,100,3,578,35992,120,success,100
hexo,heavy,100,3,545,107660,121,success,100
hugo,heavy,100,3,156,43244,123,success,100
zola,heavy,100,3,966,198320,124,success,100
hugo,heavy,1000,1,1550,185452,1113,success,1000
zola,heavy,1000,1,86012,756208,1114,success,1000
jekyll,heavy,1000,1,1215,88760,1111,success,1000
hwaro,heavy,1000,1,1683,104508,1112,success,1000
eleventy,heavy,1000,1,1507,190728,1111,success,1000
pelican,heavy,1000,1,3613,59464,1110,success,1000
hexo,heavy,1000,1,2830,427272,1111,success,1000
zola,heavy,1000,2,85908,754372,1114,success,1000
jekyll,heavy,1000,2,1213,88596,1111,success,1000
hwaro,heavy,1000,2,1572,102892,1112,success,1000
eleventy,heavy,1000,2,1617,184600,1111,success,1000
pelican,heavy,1000,2,3707,59808,1110,success,1000
hexo,heavy,1000,2,2840,425488,1111,success,1000
hugo,heavy,1000,2,1491,185076,1113,success,1000
jekyll,heavy,1000,3,1132,88544,1111,success,1000
hwaro,heavy,1000,3,1444,101840,1112,success,1000
eleventy,heavy,1000,3,1548,191524,1111,success,1000
pelican,heavy,1000,3,3629,59736,1110,success,1000
hexo,heavy,1000,3,2886,399464,1111,success,1000
hugo,heavy,1000,3,1529,191384,1113,success,1000
zola,heavy,1000,3,85956,754336,1114,success,1000
