ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,26,15248,12,success,10
zola,minimal,10,1,14,15060,13,success,10
jekyll,minimal,10,1,351,36764,12,success,10
hwaro,minimal,10,1,18,13332,12,success,10
eleventy,minimal,10,1,275,55064,12,success,10
pelican,minimal,10,1,212,30932,11,success,10
hexo,minimal,10,1,252,42308,12,success,10
zola,minimal,10,2,14,14796,13,success,10
jekyll,minimal,10,2,349,38828,12,success,10
hwaro,minimal,10,2,17,14092,12,success,10
eleventy,minimal,10,2,279,55184,12,success,10
pelican,minimal,10,2,234,30880,11,success,10
hexo,minimal,10,2,256,41428,12,success,10
hugo,minimal,10,2,28,14908,12,success,10
jekyll,minimal,10,3,361,37036,12,success,10
hwaro,minimal,10,3,19,14312,12,success,10
eleventy,minimal,10,3,276,57352,12,success,10
pelican,minimal,10,3,224,31348,11,success,10
hexo,minimal,10,3,242,42820,12,success,10
hugo,minimal,10,3,31,14928,12,success,10
zola,minimal,10,3,14,15032,13,success,10
hugo,minimal,100,1,44,24580,102,success,100
zola,minimal,100,1,33,20404,103,success,100
jekyll,minimal,100,1,355,40452,102,success,100
hwaro,minimal,100,1,33,22280,102,success,100
eleventy,minimal,100,1,343,68984,102,success,100
pelican,minimal,100,1,334,32136,101,success,100
hexo,minimal,100,1,369,74860,102,success,100
zola,minimal,100,2,31,20156,103,success,100
jekyll,minimal,100,2,347,40112,102,success,100
hwaro,minimal,100,2,33,22508,102,success,100
eleventy,minimal,100,2,329,69672,102,success,100
pelican,minimal,100,2,311,32412,101,success,100
hexo,minimal,100,2,372,75456,102,success,100
hugo,minimal,100,2,45,25080,102,success,100
jekyll,minimal,100,3,354,40168,102,success,100
hwaro,minimal,100,3,38,21980,102,success,100
eleventy,minimal,100,3,333,68752,102,success,100
pelican,minimal,100,3,315,32400,101,success,100
hexo,minimal,100,3,360,71020,102,success,100
hugo,minimal,100,3,44,24456,102,success,100
zola,minimal,100,3,32,19940,103,success,100
hugo,minimal,1000,1,252,89560,1002,success,1000
zola,minimal,1000,1,262,75356,1003,success,1000
jekyll,minimal,1000,1,768,64488,1002,success,1000
hwaro,minimal,1000,1,207,53776,1002,success,1000
eleventy,minimal,1000,1,846,152716,1002,success,1000
pelican,minimal,1000,1,1582,40580,1001,success,1000
hexo,minimal,1000,1,1444,190128,1002,success,1000
zola,minimal,1000,2,241,72200,1003,success,1000
jekyll,minimal,1000,2,763,63260,1002,success,1000
hwaro,minimal,1000,2,214,55376,1002,success,1000
eleventy,minimal,1000,2,833,153444,1002,success,1000
pelican,minimal,1000,2,1630,40584,1001,success,1000
hexo,minimal,1000,2,1467,204068,1002,success,1000
hugo,minimal,1000,2,212,85680,1002,success,1000
jekyll,minimal,1000,3,743,64308,1002,success,1000
hwaro,minimal,1000,3,233,53524,1002,success,1000
eleventy,minimal,1000,3,824,149960,1002,success,1000
pelican,minimal,1000,3,1454,40936,1001,success,1000
hexo,minimal,1000,3,1389,214520,1002,success,1000
hugo,minimal,1000,3,213,81404,1002,success,1000
zola,minimal,1000,3,239,72700,1003,success,1000
hugo,blog,10,1,52,24112,24,success,10
zola,blog,10,1,210,136880,25,success,10
jekyll,blog,10,1,383,40048,22,success,10
hwaro,blog,10,1,28,18680,23,success,10
eleventy,blog,10,1,336,60968,22,success,10
pelican,blog,10,1,306,32964,21,success,10
hexo,blog,10,1,365,68000,22,success,10
zola,blog,10,2,236,138220,25,success,10
jekyll,blog,10,2,404,40120,22,success,10
hwaro,blog,10,2,29,18704,23,success,10
eleventy,blog,10,2,335,62240,22,success,10
pelican,blog,10,2,281,32912,21,success,10
hexo,blog,10,2,367,67636,22,success,10
hugo,blog,10,2,58,24164,24,success,10
jekyll,blog,10,3,403,40556,22,success,10
hwaro,blog,10,3,26,18476,23,success,10
eleventy,blog,10,3,304,64264,22,success,10
pelican,blog,10,3,272,33400,21,success,10
hexo,blog,10,3,346,66604,22,success,10
hugo,blog,10,3,50,26624,24,success,10
zola,blog,10,3,205,137144,25,success,10
hugo,blog,100,1,145,42792,123,success,100
zola,blog,100,1,285,143536,124,success,100
jekyll,blog,100,1,420,45228,121,success,100
hwaro,blog,100,1,66,30428,122,success,100
eleventy,blog,100,1,433,88012,121,success,100
pelican,blog,100,1,593,35500,120,success,100
hexo,blog,100,1,550,108424,121,success,100
zola,blog,100,2,271,144096,124,success,100
jekyll,blog,100,2,381,45252,121,success,100
hwaro,blog,100,2,59,30700,122,success,100
eleventy,blog,100,2,384,95148,121,success,100
pelican,blog,100,2,570,35188,120,success,100
hexo,blog,100,2,522,107544,121,success,100
hugo,blog,100,2,150,44168,123,success,100
jekyll,blog,100,3,461,45516,121,success,100
hwaro,blog,100,3,66,30680,122,success,100
eleventy,blog,100,3,461,86976,121,success,100
pelican,blog,100,3,656,35364,120,success,100
hexo,blog,100,3,548,106980,121,success,100
hugo,blog,100,3,137,40692,123,success,100
zola,blog,100,3,308,143896,124,success,100
hugo,blog,1000,1,1108,168792,1113,success,1000
zola,blog,1000,1,1011,219852,1114,success,1000
jekyll,blog,1000,1,839,83740,1111,success,1000
hwaro,blog,1000,1,286,81168,1112,success,1000
eleventy,blog,1000,1,1217,181908,1111,success,1000
pelican,blog,1000,1,3502,57876,1110,success,1000
hexo,blog,1000,1,2065,402676,1111,success,1000
zola,blog,1000,2,991,216904,1114,success,1000
jekyll,blog,1000,2,840,83720,1111,success,1000
hwaro,blog,1000,2,403,79172,1112,success,1000
eleventy,blog,1000,2,1138,181512,1111,success,1000
pelican,blog,1000,2,3514,57756,1110,success,1000
hexo,blog,1000,2,1976,393000,1111,success,1000
hugo,blog,1000,2,1080,171164,1113,success,1000
jekyll,blog,1000,3,832,83592,1111,success,1000
hwaro,blog,1000,3,342,80080,1112,success,1000
eleventy,blog,1000,3,1231,174780,1111,success,1000
pelican,blog,1000,3,3458,57744,1110,success,1000
hexo,blog,1000,3,2022,370236,1111,success,1000
hugo,blog,1000,3,1138,165036,1113,success,1000
zola,blog,1000,3,991,217344,1114,success,1000
hugo,heavy,10,1,50,26400,24,success,10
zola,heavy,10,1,257,143120,25,success,10
jekyll,heavy,10,1,364,40416,22,success,10
hwaro,heavy,10,1,51,21988,23,success,10
