ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status
hugo,minimal,1000,1,499,95228,1002,success
hugo,minimal,1000,2,455,95648,1002,success
hugo,minimal,1000,3,461,93100,1002,success
zola,minimal,1000,1,432,74268,1003,success
zola,minimal,1000,2,461,74312,1003,success
zola,minimal,1000,3,440,73416,1003,success
jekyll,minimal,1000,1,1598,77452,1002,success
jekyll,minimal,1000,2,1978,77780,1002,success
jekyll,minimal,1000,3,1985,77388,1002,success
hwaro,minimal,1000,1,452,58588,1002,success
hwaro,minimal,1000,2,477,56344,1002,success
hwaro,minimal,1000,3,482,56072,1002,success
eleventy,minimal,1000,1,1341,159560,1002,success
eleventy,minimal,1000,2,1414,164700,1002,success
eleventy,minimal,1000,3,1342,159032,1002,success
pelican,minimal,1000,1,1384,45032,1001,success
pelican,minimal,1000,2,1513,44592,1001,success
pelican,minimal,1000,3,1390,44868,1001,success
hexo,minimal,1000,1,1389,196900,1002,success
hexo,minimal,1000,2,1416,193408,1002,success
hexo,minimal,1000,3,1410,194088,1002,success
gatsby,minimal,1000,1,26853,2663260,1002,success
gatsby,minimal,1000,2,27078,2615952,1002,success
gatsby,minimal,1000,3,27051,2627464,1002,success
astro,minimal,1000,1,7691,783184,1001,success
astro,minimal,1000,2,7620,775284,1001,success
astro,minimal,1000,3,7698,781112,1001,success
docusaurus,minimal,1000,1,40986,2797876,1103,success
docusaurus,minimal,1000,2,38579,2841876,1103,success
docusaurus,minimal,1000,3,38577,2786856,1103,success
