ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,526,0,0,success
hugo,10,2,355,0,0,success
hugo,10,3,357,0,0,success
hugo,100,1,1089,0,0,success
hugo,100,2,1091,0,0,success
hugo,100,3,1094,0,0,success
hugo,1000,1,8333,0,0,success
hugo,1000,2,8466,0,0,success
hugo,1000,3,8823,0,0,success
hugo,5000,1,38455,0,0,success
hugo,5000,2,40712,0,0,success
hugo,5000,3,49396,0,0,success
zola,10,1,419,0,0,success
zola,10,2,313,0,0,success
zola,10,3,376,0,0,success
zola,100,1,732,0,0,success
zola,100,2,735,0,0,success
zola,100,3,852,0,0,success
zola,1000,1,5444,0,0,success
zola,1000,2,5251,0,0,success
zola,1000,3,4725,0,0,success
zola,5000,1,24692,0,0,success
zola,5000,2,20206,0,0,success
zola,5000,3,23810,0,0,success
jekyll,10,1,1936,0,0,success
jekyll,10,2,680,0,0,success
jekyll,10,3,673,0,0,success
jekyll,100,1,1997,0,0,success
jekyll,100,2,1581,0,0,success
jekyll,100,3,1597,0,0,success
jekyll,1000,1,13646,0,0,success
jekyll,1000,2,10218,0,0,success
jekyll,1000,3,10488,0,0,success
jekyll,5000,1,59721,0,0,success
jekyll,5000,2,51569,0,0,success
jekyll,5000,3,52342,0,0,success
hwaro,10,1,330,0,0,success
hwaro,10,2,266,0,0,success
hwaro,10,3,300,0,0,success
hwaro,100,1,898,0,0,success
hwaro,100,2,1089,0,0,success
hwaro,100,3,1227,0,0,success
hwaro,1000,1,7533,0,0,success
hwaro,1000,2,7315,0,0,success
hwaro,1000,3,7264,0,0,success
hwaro,5000,1,40112,0,0,success
hwaro,5000,2,37000,0,0,success
hwaro,5000,3,33664,0,0,success
eleventy,10,1,868,0,0,failed
eleventy,10,2,614,0,0,failed
eleventy,10,3,618,0,0,failed
eleventy,100,1,966,0,0,failed
eleventy,100,2,968,0,0,failed
eleventy,100,3,968,0,0,failed
eleventy,1000,1,5046,0,0,failed
eleventy,1000,2,5517,0,0,failed
eleventy,1000,3,4307,0,0,failed
eleventy,5000,1,20199,0,0,failed
eleventy,5000,2,20507,0,0,failed
eleventy,5000,3,21913,0,0,failed
pelican,10,1,826,0,0,success
pelican,10,2,785,0,0,success
pelican,10,3,695,0,0,success
pelican,100,1,1430,0,0,success
pelican,100,2,1862,0,0,success
pelican,100,3,1517,0,0,success
pelican,1000,1,7804,0,0,success
pelican,1000,2,7451,0,0,success
pelican,1000,3,7461,0,0,success
pelican,5000,1,30805,0,0,success
pelican,5000,2,31652,0,0,success
pelican,5000,3,31695,0,0,success
hexo,10,1,1958,0,0,success
hexo,10,2,1688,0,0,success
hexo,10,3,1815,0,0,success
hexo,100,1,2226,0,0,success
hexo,100,2,2146,0,0,success
hexo,100,3,2183,0,0,success
hexo,1000,1,9103,0,0,success
hexo,1000,2,7037,0,0,success
hexo,1000,3,6853,0,0,success
hexo,5000,1,70114,0,0,success
hexo,5000,2,40464,0,0,success
hexo,5000,3,39743,0,0,success
