ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,44,15416,12,success,10
zola,minimal,10,1,18,15004,13,success,10
jekyll,minimal,10,1,494,36752,12,success,10
hwaro,minimal,10,1,22,14312,12,success,10
eleventy,minimal,10,1,434,54976,12,success,10
pelican,minimal,10,1,333,32816,11,success,10
hexo,minimal,10,1,394,42848,12,success,10
zola,minimal,10,2,19,14728,13,success,10
jekyll,minimal,10,2,493,36528,12,success,10
hwaro,minimal,10,2,23,14012,12,success,10
eleventy,minimal,10,2,428,59256,12,success,10
pelican,minimal,10,2,333,32700,11,success,10
hexo,minimal,10,2,394,42296,12,success,10
hugo,minimal,10,2,42,14892,12,success,10
jekyll,minimal,10,3,511,36816,12,success,10
hwaro,minimal,10,3,25,13236,12,success,10
eleventy,minimal,10,3,433,54724,12,success,10
pelican,minimal,10,3,332,32580,11,success,10
hexo,minimal,10,3,400,41772,12,success,10
hugo,minimal,10,3,46,16844,12,success,10
zola,minimal,10,3,19,15104,13,success,10
hugo,minimal,100,1,76,24600,102,success,100
zola,minimal,100,1,48,20164,103,success,100
jekyll,minimal,100,1,558,40260,102,success,100
hwaro,minimal,100,1,47,22516,102,success,100
eleventy,minimal,100,1,534,67536,102,success,100
pelican,minimal,100,1,533,33952,101,success,100
hexo,minimal,100,1,624,71108,102,success,100
zola,minimal,100,2,44,19920,103,success,100
jekyll,minimal,100,2,565,40080,102,success,100
hwaro,minimal,100,2,51,22020,102,success,100
eleventy,minimal,100,2,543,74368,102,success,100
pelican,minimal,100,2,539,33936,101,success,100
hexo,minimal,100,2,631,71372,102,success,100
hugo,minimal,100,2,73,24024,102,success,100
jekyll,minimal,100,3,570,40192,102,success,100
hwaro,minimal,100,3,50,22492,102,success,100
eleventy,minimal,100,3,551,70548,102,success,100
pelican,minimal,100,3,559,33672,101,success,100
hexo,minimal,100,3,639,75020,102,success,100
hugo,minimal,100,3,74,24376,102,success,100
zola,minimal,100,3,44,20412,103,success,100
hugo,minimal,1000,1,335,85464,1002,success,1000
zola,minimal,1000,1,322,75160,1003,success,1000
jekyll,minimal,1000,1,1209,64236,1002,success,1000
hwaro,minimal,1000,1,434,53732,1002,success,1000
eleventy,minimal,1000,1,1456,147848,1002,success,1000
pelican,minimal,1000,1,2653,42612,1001,success,1000
hexo,minimal,1000,1,2398,212932,1002,success,1000
zola,minimal,1000,2,322,72036,1003,success,1000
jekyll,minimal,1000,2,1211,63124,1002,success,1000
hwaro,minimal,1000,2,340,53480,1002,success,1000
eleventy,minimal,1000,2,1431,148664,1002,success,1000
pelican,minimal,1000,2,2635,42576,1001,success,1000
hexo,minimal,1000,2,2440,226728,1002,success,1000
hugo,minimal,1000,2,317,83908,1002,success,1000
jekyll,minimal,1000,3,1179,64228,1002,success,1000
hwaro,minimal,1000,3,389,53748,1002,success,1000
eleventy,minimal,1000,3,1442,150152,1002,success,1000
pelican,minimal,1000,3,2626,42776,1001,success,1000
hexo,minimal,1000,3,2412,218904,1002,success,1000
hugo,minimal,1000,3,315,83204,1002,success,1000
