ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
zola,minimal,1000,3,318,71696,1003,success,1000
hugo,blog,10,1,67,24332,24,success,10
zola,blog,10,1,326,138484,25,success,10
jekyll,blog,10,1,558,40400,22,success,10
hwaro,blog,10,1,34,17568,23,success,10
eleventy,blog,10,1,505,58336,22,success,10
pelican,blog,10,1,456,34736,21,success,10
hexo,blog,10,1,596,67092,22,success,10
zola,blog,10,2,313,137076,25,success,10
jekyll,blog,10,2,554,40352,22,success,10
hwaro,blog,10,2,39,17128,23,success,10
eleventy,blog,10,2,503,59848,22,success,10
pelican,blog,10,2,451,34680,21,success,10
hexo,blog,10,2,600,67012,22,success,10
hugo,blog,10,2,70,24016,24,success,10
jekyll,blog,10,3,560,40316,22,success,10
hwaro,blog,10,3,36,17948,23,success,10
eleventy,blog,10,3,509,58996,22,success,10
pelican,blog,10,3,452,34648,21,success,10
hexo,blog,10,3,595,66944,22,success,10
hugo,blog,10,3,77,23552,24,success,10
zola,blog,10,3,364,136904,25,success,10
hugo,blog,100,1,229,40280,123,success,100
zola,blog,100,1,437,143924,124,success,100
jekyll,blog,100,1,678,45224,121,success,100
hwaro,blog,100,1,71,30688,122,success,100
eleventy,blog,100,1,689,90896,121,success,100
pelican,blog,100,1,1017,37284,120,success,100
hexo,blog,100,1,939,107224,121,success,100
zola,blog,100,2,455,143592,124,success,100
jekyll,blog,100,2,638,45556,121,success,100
hwaro,blog,100,2,95,30440,122,success,100
eleventy,blog,100,2,689,89460,121,success,100
pelican,blog,100,2,1022,36964,120,success,100
hexo,blog,100,2,947,106208,121,success,100
hugo,blog,100,2,223,42532,123,success,100
jekyll,blog,100,3,639,45556,121,success,100
hwaro,blog,100,3,73,30196,122,success,100
eleventy,blog,100,3,684,86620,121,success,100
pelican,blog,100,3,1010,37252,120,success,100
hexo,blog,100,3,928,108112,121,success,100
hugo,blog,100,3,227,40908,123,success,100
zola,blog,100,3,482,143756,124,success,100
hugo,blog,1000,1,1859,162980,1113,success,1000
zola,blog,1000,1,1913,219820,1114,success,1000
jekyll,blog,1000,1,1453,83668,1111,success,1000
hwaro,blog,1000,1,622,78020,1112,success,1000
eleventy,blog,1000,1,2102,176472,1111,success,1000
pelican,blog,1000,1,6534,59568,1110,success,1000
hexo,blog,1000,1,3794,394364,1111,success,1000
zola,blog,1000,2,1638,216996,1114,success,1000
jekyll,blog,1000,2,1445,83880,1111,success,1000
hwaro,blog,1000,2,688,78768,1112,success,1000
eleventy,blog,1000,2,2127,177480,1111,success,1000
pelican,blog,1000,2,6329,59536,1110,success,1000
hexo,blog,1000,2,3834,397844,1111,success,1000
hugo,blog,1000,2,1802,161236,1113,success,1000
jekyll,blog,1000,3,1466,83924,1111,success,1000
hwaro,blog,1000,3,668,77724,1112,success,1000
eleventy,blog,1000,3,2107,176684,1111,success,1000
pelican,blog,1000,3,6400,59848,1110,success,1000
hexo,blog,1000,3,3857,344980,1111,success,1000
hugo,blog,1000,3,1823,157148,1113,success,1000
zola,blog,1000,3,1616,215104,1114,success,1000
hugo,heavy,10,1,75,26584,24,success,10
zola,heavy,10,1,359,143448,25,success,10
jekyll,heavy,10,1,567,40172,22,success,10
hwaro,heavy,10,1,40,21728,23,success,10
eleventy,heavy,10,1,505,59668,22,success,10
pelican,heavy,10,1,467,34900,21,success,10
hexo,heavy,10,1,602,67180,22,success,10
zola,heavy,10,2,384,143304,25,success,10
jekyll,heavy,10,2,577,40568,22,success,10
hwaro,heavy,10,2,39,22924,23,success,10
eleventy,heavy,10,2,512,60092,22,success,10
pelican,heavy,10,2,467,34704,21,success,10
hexo,heavy,10,2,599,67084,22,success,10
hugo,heavy,10,2,77,26872,24,success,10
jekyll,heavy,10,3,560,40064,22,success,10
hwaro,heavy,10,3,38,23924,23,success,10
eleventy,heavy,10,3,514,60904,22,success,10
pelican,heavy,10,3,467,34980,21,success,10
hexo,heavy,10,3,598,68960,22,success,10
hugo,heavy,10,3,71,25864,24,success,10
zola,heavy,10,3,407,143296,25,success,10
hugo,heavy,100,1,253,41168,123,success,100
zola,heavy,100,1,1390,198324,124,success,100
jekyll,heavy,100,1,716,45524,121,success,100
hwaro,heavy,100,1,107,31476,122,success,100
eleventy,heavy,100,1,694,87620,121,success,100
pelican,heavy,100,1,1036,37496,120,success,100
hexo,heavy,100,1,989,108880,121,success,100
zola,heavy,100,2,1432,198512,124,success,100
jekyll,heavy,100,2,689,45304,121,success,100
hwaro,heavy,100,2,123,31480,122,success,100
eleventy,heavy,100,2,698,89344,121,success,100
pelican,heavy,100,2,1054,37532,120,success,100
hexo,heavy,100,2,990,107104,121,success,100
hugo,heavy,100,2,249,40388,123,success,100
jekyll,heavy,100,3,688,45184,121,success,100
hwaro,heavy,100,3,98,31232,122,success,100
eleventy,heavy,100,3,714,91440,121,success,100
pelican,heavy,100,3,1051,37768,120,success,100
hexo,heavy,100,3,970,109476,121,success,100
hugo,heavy,100,3,267,42004,123,success,100
zola,heavy,100,3,1485,198332,124,success,100
hugo,heavy,1000,1,2518,176968,1113,success,1000
zola,heavy,1000,1,106289,756088,1114,success,1000
jekyll,heavy,1000,1,2066,88800,1111,success,1000
hwaro,heavy,1000,1,2384,105644,1112,success,1000
eleventy,heavy,1000,1,2914,185444,1111,success,1000
pelican,heavy,1000,1,6670,61568,1110,success,1000
hexo,heavy,1000,1,5447,363720,1111,success,1000
zola,heavy,1000,2,105620,754908,1114,success,1000
jekyll,heavy,1000,2,2019,89016,1111,success,1000
hwaro,heavy,1000,2,2374,101588,1112,success,1000
eleventy,heavy,1000,2,2906,187404,1111,success,1000
pelican,heavy,1000,2,6718,61236,1110,success,1000
hexo,heavy,1000,2,5416,426024,1111,success,1000
hugo,heavy,1000,2,2508,172364,1113,success,1000
jekyll,heavy,1000,3,1990,89044,1111,success,1000
hwaro,heavy,1000,3,2379,102092,1112,success,1000
eleventy,heavy,1000,3,2954,195436,1111,success,1000
pelican,heavy,1000,3,6714,61556,1110,success,1000
hexo,heavy,1000,3,5424,391576,1111,success,1000
hugo,heavy,1000,3,2517,174916,1113,success,1000
zola,heavy,1000,3,105845,753956,1114,success,1000
