ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,588,0,0,success
hugo,10,2,427,0,0,success
hugo,10,3,357,0,0,success
hugo,100,1,1086,0,0,success
hugo,100,2,1018,0,0,success
hugo,100,3,1059,0,0,success
hugo,1000,1,7617,0,0,success
hugo,1000,2,7684,0,0,success
hugo,1000,3,8631,0,0,success
hugo,5000,1,45348,0,0,success
hugo,5000,2,47851,0,0,success
hugo,5000,3,42547,0,0,success
zola,10,1,2171,0,0,success
zola,10,2,340,0,0,success
zola,10,3,366,0,0,success
zola,100,1,632,0,0,success
zola,100,2,619,0,0,success
zola,100,3,695,0,0,success
zola,1000,1,3812,0,0,success
zola,1000,2,4652,0,0,success
zola,1000,3,4482,0,0,success
zola,5000,1,25081,0,0,success
zola,5000,2,24445,0,0,success
zola,5000,3,21392,0,0,success
jekyll,10,1,974,0,0,success
jekyll,10,2,620,0,0,success
jekyll,10,3,624,0,0,success
jekyll,100,1,1588,0,0,success
jekyll,100,2,1489,0,0,success
jekyll,100,3,1288,0,0,success
jekyll,1000,1,10655,0,0,success
jekyll,1000,2,9532,0,0,success
jekyll,1000,3,8845,0,0,success
jekyll,5000,1,57119,0,0,success
jekyll,5000,2,48813,0,0,success
jekyll,5000,3,42151,0,0,success
hwaro,10,1,753,0,0,success
hwaro,10,2,341,0,0,success
hwaro,10,3,276,0,0,success
hwaro,100,1,850,0,0,success
hwaro,100,2,836,0,0,success
hwaro,100,3,799,0,0,success
hwaro,1000,1,5791,0,0,success
hwaro,1000,2,8564,0,0,success
hwaro,1000,3,6416,0,0,success
hwaro,5000,1,31447,0,0,success
hwaro,5000,2,32554,0,0,success
hwaro,5000,3,31747,0,0,success
