ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,787,0,0,success
hugo,10,2,439,0,0,success
hugo,10,3,445,0,0,success
hugo,100,1,1110,0,0,success
hugo,100,2,1073,0,0,success
hugo,100,3,1043,0,0,success
hugo,1000,1,8192,0,0,success
hugo,1000,2,8777,0,0,success
hugo,1000,3,8986,0,0,success
hugo,5000,1,39006,0,0,success
hugo,5000,2,38136,0,0,success
hugo,5000,3,38200,0,0,success
zola,10,1,2062,0,0,success
zola,10,2,358,0,0,success
zola,10,3,305,0,0,success
zola,100,1,594,0,0,success
zola,100,2,627,0,0,success
zola,100,3,607,0,0,success
zola,1000,1,5178,0,0,success
zola,1000,2,5303,0,0,success
zola,1000,3,5251,0,0,success
zola,5000,1,19523,0,0,success
zola,5000,2,20331,0,0,success
zola,5000,3,21701,0,0,success
jekyll,10,1,1438,0,0,success
jekyll,10,2,696,0,0,success
jekyll,10,3,677,0,0,success
jekyll,100,1,1978,0,0,success
jekyll,100,2,1380,0,0,success
jekyll,100,3,1429,0,0,success
jekyll,1000,1,14837,0,0,success
jekyll,1000,2,11369,0,0,success
jekyll,1000,3,8617,0,0,success
jekyll,5000,1,53699,0,0,success
jekyll,5000,2,49119,0,0,success
jekyll,5000,3,45758,0,0,success
hwaro,10,1,881,0,0,success
hwaro,10,2,291,0,0,success
hwaro,10,3,335,0,0,success
hwaro,100,1,847,0,0,success
hwaro,100,2,841,0,0,success
hwaro,100,3,785,0,0,success
hwaro,1000,1,6174,0,0,success
hwaro,1000,2,6237,0,0,success
hwaro,1000,3,7142,0,0,success
hwaro,5000,1,34147,0,0,success
hwaro,5000,2,30366,0,0,success
hwaro,5000,3,33072,0,0,success
eleventy,10,1,1154,0,0,success
eleventy,10,2,687,0,0,success
eleventy,10,3,657,0,0,success
eleventy,100,1,1381,0,0,success
eleventy,100,2,1405,0,0,success
eleventy,100,3,1396,0,0,success
eleventy,1000,1,8805,0,0,success
eleventy,1000,2,8712,0,0,success
eleventy,1000,3,9354,0,0,success
eleventy,5000,1,39937,0,0,success
eleventy,5000,2,45999,0,0,success
eleventy,5000,3,44583,0,0,success
pelican,10,1,945,0,0,success
pelican,10,2,669,0,0,success
pelican,10,3,646,0,0,success
pelican,100,1,1326,0,0,success
pelican,100,2,1242,0,0,success
pelican,100,3,1168,0,0,success
pelican,1000,1,6225,0,0,success
pelican,1000,2,6221,0,0,success
pelican,1000,3,6479,0,0,success
pelican,5000,1,32427,0,0,success
pelican,5000,2,29299,0,0,success
pelican,5000,3,30616,0,0,success
hexo,10,1,1926,0,0,success
hexo,10,2,1712,0,0,success
hexo,10,3,1874,0,0,success
hexo,100,1,2262,0,0,success
hexo,100,2,2170,0,0,success
hexo,100,3,2136,0,0,success
hexo,1000,1,8102,0,0,success
hexo,1000,2,6237,0,0,success
hexo,1000,3,6403,0,0,success
hexo,5000,1,73112,0,0,success
hexo,5000,2,40917,0,0,success
hexo,5000,3,43534,0,0,success
gatsby,10,1,60082,0,0,failed
gatsby,10,2,67861,0,0,failed
gatsby,10,3,65744,0,0,failed
gatsby,100,1,57130,0,0,failed
gatsby,100,2,64481,0,0,failed
gatsby,100,3,59882,0,0,failed
gatsby,1000,1,55923,0,0,failed
gatsby,1000,2,64321,0,0,failed
gatsby,1000,3,60168,0,0,failed
gatsby,5000,1,56168,0,0,failed
gatsby,5000,2,64763,0,0,failed
gatsby,5000,3,61491,0,0,failed
astro,10,1,6678,0,0,failed
astro,10,2,6592,0,0,failed
astro,10,3,6168,0,0,failed
astro,100,1,7341,0,0,failed
astro,100,2,6710,0,0,failed
astro,100,3,6216,0,0,failed
astro,1000,1,6777,0,0,failed
astro,1000,2,6731,0,0,failed
astro,1000,3,6178,0,0,failed
astro,5000,1,9503,0,0,failed
astro,5000,2,8054,0,0,failed
astro,5000,3,6325,0,0,failed
docusaurus,10,1,11823,0,0,failed
docusaurus,10,2,9103,0,0,failed
docusaurus,10,3,10893,0,0,failed
docusaurus,100,1,13647,0,0,failed
docusaurus,100,2,14491,0,0,failed
docusaurus,100,3,11338,0,0,failed
docusaurus,1000,1,10667,0,0,failed
docusaurus,1000,2,8887,0,0,failed
docusaurus,1000,3,9500,0,0,failed
docusaurus,5000,1,11501,0,0,failed
docusaurus,5000,2,9318,0,0,failed
docusaurus,5000,3,10355,0,0,failed
