ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,853,0,0,success
hugo,10,2,846,0,0,success
hugo,10,3,862,0,0,success
hugo,100,1,2002,0,0,success
hugo,100,2,2112,0,0,success
hugo,100,3,2041,0,0,success
hugo,1000,1,10643,0,0,success
hugo,1000,2,11029,0,0,success
hugo,1000,3,11245,0,0,success
hugo,5000,1,51036,0,0,success
hugo,5000,2,57672,0,0,success
hugo,5000,3,57732,0,0,success
zola,10,1,2632,0,0,success
zola,10,2,678,0,0,success
zola,10,3,666,0,0,success
zola,100,1,1399,0,0,success
zola,100,2,1644,0,0,success
zola,100,3,1573,0,0,success
zola,1000,1,9802,0,0,success
zola,1000,2,10158,0,0,success
zola,1000,3,10061,0,0,success
zola,5000,1,46245,0,0,success
zola,5000,2,52320,0,0,success
zola,5000,3,52922,0,0,success
jekyll,10,1,3691,0,0,success
jekyll,10,2,1205,0,0,success
jekyll,10,3,1192,0,0,success
jekyll,100,1,3939,0,0,success
jekyll,100,2,3222,0,0,success
jekyll,100,3,3308,0,0,success
jekyll,1000,1,27757,0,0,success
jekyll,1000,2,23431,0,0,success
jekyll,1000,3,26807,0,0,success
jekyll,5000,1,126281,0,0,success
jekyll,5000,2,112647,0,0,success
jekyll,5000,3,115191,0,0,success
hwaro,10,1,2322,0,0,success
hwaro,10,2,652,0,0,success
hwaro,10,3,672,0,0,success
hwaro,100,1,1894,0,0,success
hwaro,100,2,2164,0,0,success
hwaro,100,3,1940,0,0,success
hwaro,1000,1,16661,0,0,success
hwaro,1000,2,17325,0,0,success
hwaro,1000,3,17528,0,0,success
hwaro,5000,1,130061,0,0,success
hwaro,5000,2,119366,0,0,success
hwaro,5000,3,117677,0,0,success
