ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,31,16764,12,success,10
zola,minimal,10,1,13,15328,13,success,10
jekyll,minimal,10,1,286,36748,12,success,10
hwaro,minimal,10,1,18,14224,12,success,10
eleventy,minimal,10,1,257,55196,12,success,10
pelican,minimal,10,1,282,32576,11,success,10
hexo,minimal,10,1,233,42324,12,success,10
zola,minimal,10,2,13,15224,13,success,10
jekyll,minimal,10,2,284,36732,12,success,10
hwaro,minimal,10,2,20,12708,12,success,10
eleventy,minimal,10,2,257,60516,12,success,10
pelican,minimal,10,2,220,33068,11,success,10
hexo,minimal,10,2,235,41868,12,success,10
hugo,minimal,10,2,29,15288,12,success,10
jekyll,minimal,10,3,286,36964,12,success,10
hwaro,minimal,10,3,20,15612,12,success,10
eleventy,minimal,10,3,258,54804,12,success,10
pelican,minimal,10,3,224,32844,11,success,10
hexo,minimal,10,3,240,42668,12,success,10
hugo,minimal,10,3,30,15784,12,success,10
zola,minimal,10,3,12,14996,13,success,10
hugo,minimal,100,1,49,26720,102,success,100
zola,minimal,100,1,27,20336,103,success,100
jekyll,minimal,100,1,316,40316,102,success,100
hwaro,minimal,100,1,33,24120,102,success,100
eleventy,minimal,100,1,314,67588,102,success,100
pelican,minimal,100,1,611,33688,101,success,100
hexo,minimal,100,1,373,74544,102,success,100
zola,minimal,100,2,28,20100,103,success,100
jekyll,minimal,100,2,312,40236,102,success,100
hwaro,minimal,100,2,31,21672,102,success,100
eleventy,minimal,100,2,316,72976,102,success,100
pelican,minimal,100,2,356,33852,101,success,100
hexo,minimal,100,2,379,71100,102,success,100
hugo,minimal,100,2,48,24212,102,success,100
jekyll,minimal,100,3,315,40308,102,success,100
hwaro,minimal,100,3,34,24192,102,success,100
eleventy,minimal,100,3,327,76144,102,success,100
pelican,minimal,100,3,337,33844,101,success,100
hexo,minimal,100,3,365,73580,102,success,100
hugo,minimal,100,3,55,24248,102,success,100
zola,minimal,100,3,28,20116,103,success,100
hugo,minimal,1000,1,283,91480,1002,success,1000
zola,minimal,1000,1,179,75892,1003,success,1000
jekyll,minimal,1000,1,789,64396,1002,success,1000
hwaro,minimal,1000,1,197,53652,1002,success,1000
eleventy,minimal,1000,1,805,154352,1002,success,1000
pelican,minimal,1000,1,1695,42536,1001,success,1000
hexo,minimal,1000,1,1555,217112,1002,success,1000
zola,minimal,1000,2,179,72220,1003,success,1000
jekyll,minimal,1000,2,646,64132,1002,success,1000
hwaro,minimal,1000,2,160,55432,1002,success,1000
eleventy,minimal,1000,2,914,156936,1002,success,1000
pelican,minimal,1000,2,2008,42520,1001,success,1000
hexo,minimal,1000,2,1818,211796,1002,success,1000
hugo,minimal,1000,2,363,83452,1002,success,1000
jekyll,minimal,1000,3,753,64524,1002,success,1000
hwaro,minimal,1000,3,194,53132,1002,success,1000
eleventy,minimal,1000,3,905,149412,1002,success,1000
pelican,minimal,1000,3,1545,42288,1001,success,1000
hexo,minimal,1000,3,1395,216168,1002,success,1000
hugo,minimal,1000,3,244,81488,1002,success,1000
zola,minimal,1000,3,181,71632,1003,success,1000
hugo,blog,10,1,54,24000,24,success,10
zola,blog,10,1,237,136856,25,success,10
jekyll,blog,10,1,323,40652,22,success,10
hwaro,blog,10,1,26,18584,23,success,10
eleventy,blog,10,1,302,68852,22,success,10
pelican,blog,10,1,294,34612,21,success,10
hexo,blog,10,1,363,67224,22,success,10
zola,blog,10,2,225,137172,25,success,10
jekyll,blog,10,2,321,40792,22,success,10
hwaro,blog,10,2,27,18532,23,success,10
eleventy,blog,10,2,308,62600,22,success,10
pelican,blog,10,2,340,34608,21,success,10
hexo,blog,10,2,361,67884,22,success,10
hugo,blog,10,2,56,24244,24,success,10
jekyll,blog,10,3,323,40572,22,success,10
hwaro,blog,10,3,26,18568,23,success,10
eleventy,blog,10,3,300,59448,22,success,10
pelican,blog,10,3,537,34508,21,success,10
hexo,blog,10,3,357,67152,22,success,10
hugo,blog,10,3,53,24336,24,success,10
zola,blog,10,3,223,137052,25,success,10
hugo,blog,100,1,171,40540,123,success,100
zola,blog,100,1,311,144272,124,success,100
jekyll,blog,100,1,400,45412,121,success,100
hwaro,blog,100,1,49,30616,122,success,100
eleventy,blog,100,1,429,92092,121,success,100
pelican,blog,100,1,631,37428,120,success,100
hexo,blog,100,1,570,106844,121,success,100
zola,blog,100,2,313,144012,124,success,100
jekyll,blog,100,2,370,45440,121,success,100
hwaro,blog,100,2,49,30736,122,success,100
eleventy,blog,100,2,492,88424,121,success,100
pelican,blog,100,2,630,37080,120,success,100
hexo,blog,100,2,565,108304,121,success,100
hugo,blog,100,2,289,42300,123,success,100
jekyll,blog,100,3,367,45452,121,success,100
hwaro,blog,100,3,46,31104,122,success,100
eleventy,blog,100,3,440,87776,121,success,100
pelican,blog,100,3,626,37184,120,success,100
hexo,blog,100,3,572,105416,121,success,100
hugo,blog,100,3,175,43172,123,success,100
zola,blog,100,3,324,143996,124,success,100
hugo,blog,1000,1,1221,159232,1113,success,1000
zola,blog,1000,1,1315,219996,1114,success,1000
jekyll,blog,1000,1,1095,83308,1111,success,1000
hwaro,blog,1000,1,318,78624,1112,success,1000
eleventy,blog,1000,1,1324,178512,1111,success,1000
pelican,blog,1000,1,4314,59684,1110,success,1000
hexo,blog,1000,1,2465,385044,1111,success,1000
zola,blog,1000,2,1202,216076,1114,success,1000
jekyll,blog,1000,2,754,83880,1111,success,1000
