ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hwaro,blog,1000,2,348,78776,1112,success,1000
eleventy,blog,1000,2,1450,179816,1111,success,1000
pelican,blog,1000,2,3888,59564,1110,success,1000
hexo,blog,1000,2,2709,393500,1111,success,1000
hugo,blog,1000,2,1378,166580,1113,success,1000
jekyll,blog,1000,3,807,83792,1111,success,1000
hwaro,blog,1000,3,362,78612,1112,success,1000
eleventy,blog,1000,3,1345,178876,1111,success,1000
pelican,blog,1000,3,4041,59440,1110,success,1000
hexo,blog,1000,3,2422,396444,1111,success,1000
hugo,blog,1000,3,1248,161180,1113,success,1000
zola,blog,1000,3,1185,215432,1114,success,1000
hugo,heavy,10,1,53,27388,24,success,10
zola,heavy,10,1,284,143416,25,success,10
jekyll,heavy,10,1,327,40024,22,success,10
hwaro,heavy,10,1,32,20984,23,success,10
eleventy,heavy,10,1,301,60856,22,success,10
pelican,heavy,10,1,351,34944,21,success,10
hexo,heavy,10,1,360,70020,22,success,10
zola,heavy,10,2,247,142940,25,success,10
jekyll,heavy,10,2,329,40316,22,success,10
hwaro,heavy,10,2,30,22036,23,success,10
eleventy,heavy,10,2,316,62780,22,success,10
pelican,heavy,10,2,311,34876,21,success,10
hexo,heavy,10,2,362,67484,22,success,10
hugo,heavy,10,2,56,24220,24,success,10
jekyll,heavy,10,3,328,40332,22,success,10
hwaro,heavy,10,3,34,23848,23,success,10
eleventy,heavy,10,3,331,63672,22,success,10
pelican,heavy,10,3,327,35008,21,success,10
hexo,heavy,10,3,393,68396,22,success,10
hugo,heavy,10,3,61,27060,24,success,10
zola,heavy,10,3,268,143588,25,success,10
hugo,heavy,100,1,178,41108,123,success,100
zola,heavy,100,1,1053,198848,124,success,100
jekyll,heavy,100,1,391,45288,121,success,100
hwaro,heavy,100,1,87,31544,122,success,100
eleventy,heavy,100,1,442,88980,121,success,100
pelican,heavy,100,1,747,37220,120,success,100
hexo,heavy,100,1,669,111152,121,success,100
zola,heavy,100,2,1018,198324,124,success,100
jekyll,heavy,100,2,431,45488,121,success,100
hwaro,heavy,100,2,73,34708,122,success,100
eleventy,heavy,100,2,445,88880,121,success,100
pelican,heavy,100,2,794,37656,120,success,100
hexo,heavy,100,2,587,110992,121,success,100
hugo,heavy,100,2,204,41408,123,success,100
jekyll,heavy,100,3,390,45316,121,success,100
hwaro,heavy,100,3,72,31460,122,success,100
eleventy,heavy,100,3,440,91192,121,success,100
pelican,heavy,100,3,649,37624,120,success,100
hexo,heavy,100,3,585,107204,121,success,100
hugo,heavy,100,3,178,40856,123,success,100
zola,heavy,100,3,1024,198272,124,success,100
hugo,heavy,1000,1,1853,178180,1113,success,1000
zola,heavy,1000,1,96938,755824,1114,success,1000
jekyll,heavy,1000,1,1377,88504,1111,success,1000
hwaro,heavy,1000,1,2620,105880,1112,success,1000
eleventy,heavy,1000,1,1830,186320,1111,success,1000
pelican,heavy,1000,1,4171,61764,1110,success,1000
hexo,heavy,1000,1,3589,397784,1111,success,1000
zola,heavy,1000,2,97498,756608,1114,success,1000
jekyll,heavy,1000,2,1065,88392,1111,success,1000
hwaro,heavy,1000,2,2396,106280,1112,success,1000
eleventy,heavy,1000,2,1760,187504,1111,success,1000
pelican,heavy,1000,2,4128,61584,1110,success,1000
hexo,heavy,1000,2,3637,425268,1111,success,1000
hugo,heavy,1000,2,2043,176864,1113,success,1000
jekyll,heavy,1000,3,1406,86128,1111,success,1000
hwaro,heavy,1000,3,1642,104148,1112,success,1000
eleventy,heavy,1000,3,2120,187320,1111,success,1000
pelican,heavy,1000,3,4138,61720,1110,success,1000
hexo,heavy,1000,3,3546,439632,1111,success,1000
hugo,heavy,1000,3,1824,177468,1113,success,1000
zola,heavy,1000,3,95975,756548,1114,success,1000
