ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,1000,1,556,83656,1002,success,1000
zola,minimal,1000,1,495,74096,1003,success,1000
jekyll,minimal,1000,1,1633,74440,1002,success,1000
hwaro,minimal,1000,1,602,70572,1002,success,1000
eleventy,minimal,1000,1,1119,168768,1002,success,1000
pelican,minimal,1000,1,1503,44604,1001,success,1000
hexo,minimal,1000,1,1406,204084,1002,success,1000
gatsby,minimal,1000,1,29749,2904568,1002,success,1000
astro,minimal,1000,1,8039,770588,1001,success,1000
docusaurus,minimal,1000,1,36746,2487284,1103,success,1000
zola,minimal,1000,2,530,73768,1003,success,1000
jekyll,minimal,1000,2,1786,73200,1002,success,1000
hwaro,minimal,1000,2,599,64404,1002,success,1000
eleventy,minimal,1000,2,1206,174208,1002,success,1000
pelican,minimal,1000,2,1350,44692,1001,success,1000
hexo,minimal,1000,2,1357,211440,1002,success,1000
gatsby,minimal,1000,2,28583,2952004,1002,success,1000
astro,minimal,1000,2,7709,766480,1001,success,1000
docusaurus,minimal,1000,2,32721,2198056,1103,success,1000
hugo,minimal,1000,2,531,85412,1002,success,1000
jekyll,minimal,1000,3,1658,73628,1002,success,1000
hwaro,minimal,1000,3,620,65944,1002,success,1000
eleventy,minimal,1000,3,1188,166104,1002,success,1000
pelican,minimal,1000,3,1350,44392,1001,success,1000
hexo,minimal,1000,3,1355,202780,1002,success,1000
gatsby,minimal,1000,3,30409,2922024,1002,success,1000
astro,minimal,1000,3,7806,767644,1001,success,1000
docusaurus,minimal,1000,3,36748,2242828,1103,success,1000
hugo,minimal,1000,3,539,85496,1002,success,1000
zola,minimal,1000,3,534,73932,1003,success,1000
hugo,blog,1000,1,974,157140,1113,success,1000
zola,blog,1000,1,1105,217052,1114,success,1000
jekyll,blog,1000,1,3186,102496,1111,success,1000
hwaro,blog,1000,1,691,72216,1112,success,1000
eleventy,blog,1000,1,1519,194184,1111,success,1000
pelican,blog,1000,1,2934,52568,1110,success,1000
hexo,blog,1000,1,2101,359976,1111,success,1000
zola,blog,1000,2,975,217144,1114,success,1000
jekyll,blog,1000,2,3240,102308,1111,success,1000
hwaro,blog,1000,2,779,72764,1112,success,1000
eleventy,blog,1000,2,1532,189516,1111,success,1000
pelican,blog,1000,2,2848,52248,1110,success,1000
hexo,blog,1000,2,2124,361600,1111,success,1000
hugo,blog,1000,2,1036,159084,1113,success,1000
jekyll,blog,1000,3,3571,102196,1111,success,1000
hwaro,blog,1000,3,925,72852,1112,success,1000
eleventy,blog,1000,3,1497,192180,1111,success,1000
pelican,blog,1000,3,2908,52872,1110,success,1000
hexo,blog,1000,3,2215,325824,1111,success,1000
hugo,blog,1000,3,937,162536,1113,success,1000
zola,blog,1000,3,956,216736,1114,success,1000
hugo,heavy,1000,1,1113,167680,1113,success,1000
zola,heavy,1000,1,28393,1110348,1114,success,1000
jekyll,heavy,1000,1,3353,104988,1111,success,1000
hwaro,heavy,1000,1,1625,75984,1112,success,1000
eleventy,heavy,1000,1,1914,199652,1111,success,1000
pelican,heavy,1000,1,3318,52892,1110,success,1000
hexo,heavy,1000,1,3094,403516,1111,success,1000
zola,heavy,1000,2,29301,1111928,1114,success,1000
jekyll,heavy,1000,2,3261,105076,1111,success,1000
hwaro,heavy,1000,2,1541,74592,1112,success,1000
eleventy,heavy,1000,2,1921,194360,1111,success,1000
pelican,heavy,1000,2,2988,52444,1110,success,1000
hexo,heavy,1000,2,2936,392184,1111,success,1000
hugo,heavy,1000,2,1148,166832,1113,success,1000
jekyll,heavy,1000,3,3259,104976,1111,success,1000
hwaro,heavy,1000,3,1694,74188,1112,success,1000
eleventy,heavy,1000,3,1782,196308,1111,success,1000
pelican,heavy,1000,3,2757,52356,1110,success,1000
hexo,heavy,1000,3,2859,365356,1111,success,1000
hugo,heavy,1000,3,1118,169240,1113,success,1000
zola,heavy,1000,3,28903,1110864,1114,success,1000
