ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,40,15348,12,success,10
zola,minimal,10,1,19,14960,13,success,10
jekyll,minimal,10,1,507,36664,12,success,10
hwaro,minimal,10,1,25,16028,12,success,10
eleventy,minimal,10,1,434,56960,12,success,10
pelican,minimal,10,1,340,32844,11,success,10
hexo,minimal,10,1,409,42804,12,success,10
zola,minimal,10,2,19,14952,13,success,10
jekyll,minimal,10,2,515,36760,12,success,10
hwaro,minimal,10,2,29,13288,12,success,10
eleventy,minimal,10,2,452,54492,12,success,10
pelican,minimal,10,2,342,32808,11,success,10
hexo,minimal,10,2,412,42264,12,success,10
hugo,minimal,10,2,41,15036,12,success,10
jekyll,minimal,10,3,519,37160,12,success,10
hwaro,minimal,10,3,29,13224,12,success,10
eleventy,minimal,10,3,452,57012,12,success,10
pelican,minimal,10,3,336,32556,11,success,10
hexo,minimal,10,3,408,42308,12,success,10
hugo,minimal,10,3,42,15032,12,success,10
zola,minimal,10,3,18,15228,13,success,10
hugo,minimal,100,1,74,24496,102,success,100
zola,minimal,100,1,45,20352,103,success,100
jekyll,minimal,100,1,558,39928,102,success,100
hwaro,minimal,100,1,47,21880,102,success,100
eleventy,minimal,100,1,547,71944,102,success,100
pelican,minimal,100,1,555,33824,101,success,100
hexo,minimal,100,1,635,74800,102,success,100
zola,minimal,100,2,44,20072,103,success,100
jekyll,minimal,100,2,559,40088,102,success,100
hwaro,minimal,100,2,49,22172,102,success,100
eleventy,minimal,100,2,548,72884,102,success,100
pelican,minimal,100,2,554,33836,101,success,100
hexo,minimal,100,2,642,71536,102,success,100
hugo,minimal,100,2,71,24392,102,success,100
jekyll,minimal,100,3,565,40016,102,success,100
hwaro,minimal,100,3,47,23964,102,success,100
eleventy,minimal,100,3,548,69060,102,success,100
pelican,minimal,100,3,555,33820,101,success,100
hexo,minimal,100,3,640,71016,102,success,100
hugo,minimal,100,3,79,23724,102,success,100
zola,minimal,100,3,45,20216,103,success,100
hugo,minimal,1000,1,344,81264,1002,success,1000
zola,minimal,1000,1,358,75668,1003,success,1000
jekyll,minimal,1000,1,1284,64312,1002,success,1000
hwaro,minimal,1000,1,328,53896,1002,success,1000
eleventy,minimal,1000,1,1504,145384,1002,success,1000
pelican,minimal,1000,1,2741,42232,1001,success,1000
hexo,minimal,1000,1,2512,225776,1002,success,1000
zola,minimal,1000,2,324,73484,1003,success,1000
jekyll,minimal,1000,2,1241,64384,1002,success,1000
hwaro,minimal,1000,2,338,54104,1002,success,1000
eleventy,minimal,1000,2,1502,152632,1002,success,1000
pelican,minimal,1000,2,2813,42356,1001,success,1000
hexo,minimal,1000,2,2472,198332,1002,success,1000
hugo,minimal,1000,2,338,91764,1002,success,1000
jekyll,minimal,1000,3,1260,64628,1002,success,1000
hwaro,minimal,1000,3,331,53860,1002,success,1000
eleventy,minimal,1000,3,1507,149168,1002,success,1000
pelican,minimal,1000,3,2771,42188,1001,success,1000
hexo,minimal,1000,3,2486,199000,1002,success,1000
hugo,minimal,1000,3,341,91964,1002,success,1000
zola,minimal,1000,3,328,71884,1003,success,1000
hugo,blog,10,1,66,26340,24,success,10
zola,blog,10,1,324,136988,25,success,10
jekyll,blog,10,1,567,40012,22,success,10
hwaro,blog,10,1,36,17672,23,success,10
eleventy,blog,10,1,511,58708,22,success,10
pelican,blog,10,1,482,34864,21,success,10
hexo,blog,10,1,605,67092,22,success,10
zola,blog,10,2,325,137360,25,success,10
jekyll,blog,10,2,578,39828,22,success,10
hwaro,blog,10,2,35,18856,23,success,10
eleventy,blog,10,2,518,58952,22,success,10
pelican,blog,10,2,481,34872,21,success,10
hexo,blog,10,2,605,67660,22,success,10
hugo,blog,10,2,68,25760,24,success,10
jekyll,blog,10,3,567,40832,22,success,10
hwaro,blog,10,3,38,18564,23,success,10
eleventy,blog,10,3,508,61796,22,success,10
pelican,blog,10,3,458,34752,21,success,10
hexo,blog,10,3,605,67900,22,success,10
hugo,blog,10,3,68,25944,24,success,10
zola,blog,10,3,312,137552,25,success,10
hugo,blog,100,1,235,42684,123,success,100
zola,blog,100,1,498,144748,124,success,100
jekyll,blog,100,1,656,45152,121,success,100
hwaro,blog,100,1,72,30624,122,success,100
eleventy,blog,100,1,690,88412,121,success,100
pelican,blog,100,1,1033,37408,120,success,100
hexo,blog,100,1,960,108048,121,success,100
zola,blog,100,2,435,143944,124,success,100
jekyll,blog,100,2,668,45336,121,success,100
hwaro,blog,100,2,95,30616,122,success,100
eleventy,blog,100,2,711,87468,121,success,100
pelican,blog,100,2,1056,36772,120,success,100
hexo,blog,100,2,974,108100,121,success,100
hugo,blog,100,2,234,40368,123,success,100
jekyll,blog,100,3,679,45452,121,success,100
hwaro,blog,100,3,75,30852,122,success,100
eleventy,blog,100,3,695,87032,121,success,100
pelican,blog,100,3,1041,37124,120,success,100
hexo,blog,100,3,977,109236,121,success,100
hugo,blog,100,3,239,40360,123,success,100
zola,blog,100,3,428,143908,124,success,100
hugo,blog,1000,1,1945,157128,1113,success,1000
zola,blog,1000,1,1810,219920,1114,success,1000
jekyll,blog,1000,1,1495,83568,1111,success,1000
hwaro,blog,1000,1,474,78720,1112,success,1000
eleventy,blog,1000,1,2202,177476,1111,success,1000
pelican,blog,1000,1,6530,59888,1110,success,1000
hexo,blog,1000,1,3994,369548,1111,success,1000
zola,blog,1000,2,1667,218244,1114,success,1000
jekyll,blog,1000,2,1582,83748,1111,success,1000
hwaro,blog,1000,2,649,77976,1112,success,1000
eleventy,blog,1000,2,2311,180948,1111,success,1000
pelican,blog,1000,2,6973,59680,1110,success,1000
hexo,blog,1000,2,4012,397484,1111,success,1000
hugo,blog,1000,2,1870,160708,1113,success,1000
jekyll,blog,1000,3,1559,83584,1111,success,1000
hwaro,blog,1000,3,656,78436,1112,success,1000
eleventy,blog,1000,3,2234,180480,1111,success,1000
pelican,blog,1000,3,6947,59640,1110,success,1000
hexo,blog,1000,3,4069,394644,1111,success,1000
hugo,blog,1000,3,1931,163124,1113,success,1000
zola,blog,1000,3,1763,215648,1114,success,1000
hugo,heavy,10,1,73,24224,24,success,10
zola,heavy,10,1,354,143212,25,success,10
jekyll,heavy,10,1,616,40088,22,success,10
hwaro,heavy,10,1,40,21620,23,success,10
eleventy,heavy,10,1,531,63100,22,success,10
pelican,heavy,10,1,493,34616,21,success,10
hexo,heavy,10,1,632,67896,22,success,10
zola,heavy,10,2,367,143200,25,success,10
jekyll,heavy,10,2,624,40092,22,success,10
hwaro,heavy,10,2,40,22032,23,success,10
eleventy,heavy,10,2,529,59376,22,success,10
pelican,heavy,10,2,491,34628,21,success,10
hexo,heavy,10,2,657,67796,22,success,10
hugo,heavy,10,2,75,26320,24,success,10
jekyll,heavy,10,3,618,40076,22,success,10
hwaro,heavy,10,3,39,22192,23,success,10
eleventy,heavy,10,3,546,62268,22,success,10
pelican,heavy,10,3,510,34876,21,success,10
hexo,heavy,10,3,644,68928,22,success,10
hugo,heavy,10,3,87,24588,24,success,10
zola,heavy,10,3,348,143348,25,success,10
hugo,heavy,100,1,260,41176,123,success,100
zola,heavy,100,1,1467,198352,124,success,100
jekyll,heavy,100,1,749,45196,121,success,100
hwaro,heavy,100,1,111,31636,122,success,100
eleventy,heavy,100,1,755,91956,121,success,100
pelican,heavy,100,1,1111,37168,120,success,100
hexo,heavy,100,1,1040,109352,121,success,100
zola,heavy,100,2,1468,198348,124,success,100
jekyll,heavy,100,2,709,45364,121,success,100
hwaro,heavy,100,2,118,31100,122,success,100
eleventy,heavy,100,2,751,94548,121,success,100
pelican,heavy,100,2,1117,37444,120,success,100
hexo,heavy,100,2,1023,109736,121,success,100
hugo,heavy,100,2,271,41364,123,success,100
jekyll,heavy,100,3,756,45704,121,success,100
hwaro,heavy,100,3,123,31660,122,success,100
eleventy,heavy,100,3,761,92740,121,success,100
pelican,heavy,100,3,1117,37440,120,success,100
hexo,heavy,100,3,1020,108348,121,success,100
hugo,heavy,100,3,273,43924,123,success,100
zola,heavy,100,3,1475,198452,124,success,100
hugo,heavy,1000,1,2723,173848,1113,success,1000
zola,heavy,1000,1,110851,754764,1114,success,1000
jekyll,heavy,1000,1,2095,89424,1111,success,1000
hwaro,heavy,1000,1,2456,105532,1112,success,1000
eleventy,heavy,1000,1,2961,189604,1111,success,1000
pelican,heavy,1000,1,6834,61360,1110,success,1000
hexo,heavy,1000,1,5602,416416,1111,success,1000
zola,heavy,1000,2,112746,754564,1114,success,1000
jekyll,heavy,1000,2,2092,88692,1111,success,1000
hwaro,heavy,1000,2,2461,103680,1112,success,1000
eleventy,heavy,1000,2,2989,188060,1111,success,1000
pelican,heavy,1000,2,6916,61580,1110,success,1000
hexo,heavy,1000,2,5600,405688,1111,success,1000
hugo,heavy,1000,2,2636,175728,1113,success,1000
jekyll,heavy,1000,3,2098,88448,1111,success,1000
hwaro,heavy,1000,3,2523,101900,1112,success,1000
eleventy,heavy,1000,3,2990,186112,1111,success,1000
pelican,heavy,1000,3,6989,61432,1110,success,1000
hexo,heavy,1000,3,5624,424860,1111,success,1000
hugo,heavy,1000,3,2671,170056,1113,success,1000
zola,heavy,1000,3,115271,754304,1114,success,1000
