ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,328,0,0,success
hugo,10,2,217,0,0,success
hugo,10,3,212,0,0,success
hugo,100,1,342,0,0,success
hugo,100,2,336,0,0,success
hugo,100,3,319,0,0,success
hugo,1000,1,1338,0,0,success
hugo,1000,2,1353,0,0,success
hugo,1000,3,1335,0,0,success
hugo,5000,1,6087,0,0,success
hugo,5000,2,6329,0,0,success
hugo,5000,3,6249,0,0,success
zola,10,1,194,0,0,success
zola,10,2,211,0,0,success
zola,10,3,211,0,0,success
zola,100,1,241,0,0,success
zola,100,2,255,0,0,success
zola,100,3,240,0,0,success
zola,1000,1,657,0,0,success
zola,1000,2,669,0,0,success
zola,1000,3,706,0,0,success
zola,5000,1,2972,0,0,success
zola,5000,2,2542,0,0,success
zola,5000,3,2606,0,0,success
jekyll,10,1,544,0,0,success
jekyll,10,2,404,0,0,success
jekyll,10,3,418,0,0,success
jekyll,100,1,539,0,0,success
jekyll,100,2,487,0,0,success
jekyll,100,3,513,0,0,success
jekyll,1000,1,2095,0,0,success
jekyll,1000,2,1380,0,0,success
jekyll,1000,3,1427,0,0,success
jekyll,5000,1,8706,0,0,success
jekyll,5000,2,5331,0,0,success
jekyll,5000,3,5214,0,0,success
hwaro,10,1,195,0,0,success
hwaro,10,2,210,0,0,success
hwaro,10,3,199,0,0,success
hwaro,100,1,250,0,0,success
hwaro,100,2,305,0,0,success
hwaro,100,3,255,0,0,success
hwaro,1000,1,777,0,0,success
hwaro,1000,2,718,0,0,success
hwaro,1000,3,766,0,0,success
hwaro,5000,1,2688,0,0,success
hwaro,5000,2,2726,0,0,success
hwaro,5000,3,2481,0,0,success
eleventy,10,1,493,0,0,success
eleventy,10,2,414,0,0,success
eleventy,10,3,383,0,0,success
eleventy,100,1,527,0,0,success
eleventy,100,2,532,0,0,success
eleventy,100,3,514,0,0,success
eleventy,1000,1,1543,0,0,success
eleventy,1000,2,1502,0,0,success
eleventy,1000,3,1498,0,0,success
eleventy,5000,1,6272,0,0,success
eleventy,5000,2,6149,0,0,success
eleventy,5000,3,6155,0,0,success
pelican,10,1,360,0,0,success
pelican,10,2,366,0,0,success
pelican,10,3,357,0,0,success
pelican,100,1,499,0,0,success
pelican,100,2,469,0,0,success
pelican,100,3,528,0,0,success
pelican,1000,1,1992,0,0,success
pelican,1000,2,1947,0,0,success
pelican,1000,3,1904,0,0,success
pelican,5000,1,8635,0,0,success
pelican,5000,2,8004,0,0,success
pelican,5000,3,7690,0,0,success
hexo,10,1,486,0,0,success
hexo,10,2,472,0,0,success
hexo,10,3,460,0,0,success
hexo,100,1,604,0,0,success
hexo,100,2,584,0,0,success
hexo,100,3,538,0,0,success
hexo,1000,1,2388,0,0,success
hexo,1000,2,1599,0,0,success
hexo,1000,3,1587,0,0,success
hexo,5000,1,24185,0,0,success
hexo,5000,2,11792,0,0,success
hexo,5000,3,12256,0,0,success
gatsby,10,1,46553,0,0,success
gatsby,10,2,37130,0,0,success
gatsby,10,3,35515,0,0,success
gatsby,100,1,46873,0,0,success
gatsby,100,2,37921,0,0,success
gatsby,100,3,38565,0,0,success
gatsby,1000,1,51223,0,0,success
gatsby,1000,2,45844,0,0,success
gatsby,1000,3,44422,0,0,success
gatsby,5000,1,68014,0,0,success
gatsby,5000,2,60477,0,0,success
gatsby,5000,3,59989,0,0,success
astro,10,1,1786,0,0,success
astro,10,2,1500,0,0,success
astro,10,3,1523,0,0,success
astro,100,1,2327,0,0,success
astro,100,2,2304,0,0,success
astro,100,3,2257,0,0,success
astro,1000,1,8616,0,0,success
astro,1000,2,8395,0,0,success
astro,1000,3,8184,0,0,success
astro,5000,1,44030,0,0,success
astro,5000,2,44626,0,0,success
astro,5000,3,44865,0,0,success
docusaurus,10,1,1588,0,0,failed
docusaurus,10,2,1449,0,0,failed
docusaurus,10,3,1469,0,0,failed
docusaurus,100,1,1725,0,0,failed
docusaurus,100,2,1510,0,0,failed
docusaurus,100,3,1486,0,0,failed
docusaurus,1000,1,1754,0,0,failed
docusaurus,1000,2,1517,0,0,failed
docusaurus,1000,3,1588,0,0,failed
docusaurus,5000,1,2258,0,0,failed
docusaurus,5000,2,1890,0,0,failed
docusaurus,5000,3,1853,0,0,failed
