ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,1000,1,1737,91440,1002,success,1000
zola,minimal,1000,1,1015,73568,1003,success,1000
jekyll,minimal,1000,1,1888,72644,1002,success,1000
hwaro,minimal,1000,1,716,68220,1002,success,1000
eleventy,minimal,1000,1,1330,164832,1002,success,1000
pelican,minimal,1000,1,1483,44180,1001,success,1000
hexo,minimal,1000,1,1538,214572,1002,success,1000
gatsby,minimal,1000,1,32068,2963604,1002,success,1000
astro,minimal,1000,1,9268,758076,1001,success,1000
docusaurus,minimal,1000,1,42499,2425044,1103,success,1000
zola,minimal,1000,2,571,73788,1003,success,1000
jekyll,minimal,1000,2,1858,71756,1002,success,1000
hwaro,minimal,1000,2,649,62576,1002,success,1000
eleventy,minimal,1000,2,1249,167564,1002,success,1000
pelican,minimal,1000,2,1486,43936,1001,success,1000
hexo,minimal,1000,2,1519,216908,1002,success,1000
gatsby,minimal,1000,2,45596,2900752,1002,success,1000
astro,minimal,1000,2,8475,770072,1001,success,1000
docusaurus,minimal,1000,2,38100,2292952,1103,success,1000
hugo,minimal,1000,2,547,87724,1002,success,1000
jekyll,minimal,1000,3,2076,72528,1002,success,1000
hwaro,minimal,1000,3,613,65736,1002,success,1000
eleventy,minimal,1000,3,1377,177136,1002,success,1000
pelican,minimal,1000,3,1480,45392,1001,success,1000
hexo,minimal,1000,3,1544,215744,1002,success,1000
gatsby,minimal,1000,3,29758,2933104,1002,success,1000
astro,minimal,1000,3,8155,803256,1001,success,1000
docusaurus,minimal,1000,3,37320,2606336,1103,success,1000
hugo,minimal,1000,3,516,85088,1002,success,1000
zola,minimal,1000,3,679,73336,1003,success,1000
hugo,blog,1000,1,1058,158444,1113,success,1000
zola,blog,1000,1,1359,215252,1114,success,1000
jekyll,blog,1000,1,3359,101236,1111,success,1000
hwaro,blog,1000,1,809,71264,1112,success,1000
eleventy,blog,1000,1,1488,190616,1111,success,1000
pelican,blog,1000,1,2956,52580,1110,success,1000
hexo,blog,1000,1,2366,348464,1111,success,1000
zola,blog,1000,2,931,215364,1114,success,1000
jekyll,blog,1000,2,3269,100316,1111,success,1000
hwaro,blog,1000,2,801,71172,1112,success,1000
eleventy,blog,1000,2,1535,191300,1111,success,1000
pelican,blog,1000,2,3352,52712,1110,success,1000
hexo,blog,1000,2,2605,339612,1111,success,1000
hugo,blog,1000,2,1026,163180,1113,success,1000
jekyll,blog,1000,3,3875,101012,1111,success,1000
hwaro,blog,1000,3,1306,73796,1112,success,1000
eleventy,blog,1000,3,2358,188688,1111,success,1000
pelican,blog,1000,3,3131,52668,1110,success,1000
hexo,blog,1000,3,2389,368308,1111,success,1000
hugo,blog,1000,3,1040,152456,1113,success,1000
zola,blog,1000,3,990,215368,1114,success,1000
hugo,heavy,1000,1,1104,161076,1113,success,1000
zola,heavy,1000,1,28094,1110124,1114,success,1000
jekyll,heavy,1000,1,3425,103304,1111,success,1000
hwaro,heavy,1000,1,1873,73212,1112,success,1000
eleventy,heavy,1000,1,1904,195020,1111,success,1000
pelican,heavy,1000,1,3076,53000,1110,success,1000
hexo,heavy,1000,1,2846,368096,1111,success,1000
zola,heavy,1000,2,28293,1110296,1114,success,1000
jekyll,heavy,1000,2,3468,103664,1111,success,1000
hwaro,heavy,1000,2,1756,72408,1112,success,1000
eleventy,heavy,1000,2,1862,194128,1111,success,1000
pelican,heavy,1000,2,3207,52488,1110,success,1000
hexo,heavy,1000,2,3083,422128,1111,success,1000
hugo,heavy,1000,2,1141,170952,1113,success,1000
jekyll,heavy,1000,3,3787,103660,1111,success,1000
hwaro,heavy,1000,3,2016,71684,1112,success,1000
eleventy,heavy,1000,3,1796,194676,1111,success,1000
pelican,heavy,1000,3,2824,53068,1110,success,1000
hexo,heavy,1000,3,2933,424496,1111,success,1000
hugo,heavy,1000,3,1081,166952,1113,success,1000
zola,heavy,1000,3,28710,1112544,1114,success,1000
