ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,233,0,0,failed
hugo,10,2,207,0,0,failed
hugo,10,3,205,0,0,failed
hugo,100,1,212,0,0,failed
hugo,100,2,211,0,0,failed
hugo,100,3,209,0,0,failed
hugo,1000,1,207,0,0,failed
hugo,1000,2,219,0,0,failed
hugo,1000,3,207,0,0,failed
hugo,5000,1,262,0,0,failed
hugo,5000,2,243,0,0,failed
hugo,5000,3,191,0,0,failed
zola,10,1,183,0,0,failed
zola,10,2,186,0,0,failed
zola,10,3,182,0,0,failed
zola,100,1,167,0,0,failed
zola,100,2,186,0,0,failed
zola,100,3,188,0,0,failed
zola,1000,1,191,0,0,failed
zola,1000,2,180,0,0,failed
zola,1000,3,184,0,0,failed
zola,5000,1,163,0,0,failed
zola,5000,2,169,0,0,failed
zola,5000,3,163,0,0,failed
jekyll,10,1,430,0,0,success
jekyll,10,2,395,0,0,success
jekyll,10,3,398,0,0,success
jekyll,100,1,559,0,0,success
jekyll,100,2,505,0,0,success
jekyll,100,3,512,0,0,success
jekyll,1000,1,2101,0,0,success
jekyll,1000,2,1430,0,0,success
jekyll,1000,3,1377,0,0,success
jekyll,5000,1,9003,0,0,success
jekyll,5000,2,5490,0,0,success
jekyll,5000,3,5567,0,0,success
hwaro,10,1,186,0,0,success
hwaro,10,2,183,0,0,success
hwaro,10,3,190,0,0,success
hwaro,100,1,269,0,0,success
hwaro,100,2,258,0,0,success
hwaro,100,3,260,0,0,success
hwaro,1000,1,916,0,0,success
hwaro,1000,2,918,0,0,success
hwaro,1000,3,921,0,0,success
hwaro,5000,1,4119,0,0,success
hwaro,5000,2,4212,0,0,success
hwaro,5000,3,4123,0,0,success
eleventy,10,1,374,0,0,failed
eleventy,10,2,364,0,0,failed
eleventy,10,3,362,0,0,failed
eleventy,100,1,420,0,0,failed
eleventy,100,2,389,0,0,failed
eleventy,100,3,408,0,0,failed
eleventy,1000,1,821,0,0,failed
eleventy,1000,2,788,0,0,failed
eleventy,1000,3,814,0,0,failed
eleventy,5000,1,2336,0,0,failed
eleventy,5000,2,2373,0,0,failed
eleventy,5000,3,2334,0,0,failed
pelican,10,1,343,0,0,failed
pelican,10,2,325,0,0,failed
pelican,10,3,357,0,0,failed
pelican,100,1,348,0,0,failed
pelican,100,2,338,0,0,failed
pelican,100,3,334,0,0,failed
pelican,1000,1,338,0,0,failed
pelican,1000,2,344,0,0,failed
pelican,1000,3,346,0,0,failed
pelican,5000,1,356,0,0,failed
pelican,5000,2,337,0,0,failed
pelican,5000,3,336,0,0,failed
hexo,10,1,232,0,0,success
hexo,10,2,224,0,0,success
hexo,10,3,232,0,0,success
hexo,100,1,242,0,0,success
hexo,100,2,232,0,0,success
hexo,100,3,224,0,0,success
hexo,1000,1,221,0,0,success
hexo,1000,2,224,0,0,success
hexo,1000,3,222,0,0,success
hexo,5000,1,229,0,0,success
hexo,5000,2,239,0,0,success
hexo,5000,3,240,0,0,success
gatsby,10,1,391,0,0,failed
gatsby,10,2,404,0,0,failed
gatsby,10,3,405,0,0,failed
gatsby,100,1,379,0,0,failed
gatsby,100,2,393,0,0,failed
gatsby,100,3,403,0,0,failed
gatsby,1000,1,372,0,0,failed
gatsby,1000,2,393,0,0,failed
gatsby,1000,3,378,0,0,failed
gatsby,5000,1,401,0,0,failed
gatsby,5000,2,420,0,0,failed
gatsby,5000,3,401,0,0,failed
astro,10,1,937,0,0,failed
astro,10,2,963,0,0,failed
astro,10,3,949,0,0,failed
astro,100,1,986,0,0,failed
astro,100,2,984,0,0,failed
astro,100,3,976,0,0,failed
astro,1000,1,1178,0,0,failed
astro,1000,2,1206,0,0,failed
astro,1000,3,1226,0,0,failed
astro,5000,1,2567,0,0,failed
astro,5000,2,2374,0,0,failed
astro,5000,3,2373,0,0,failed
docusaurus,10,1,532,0,0,failed
docusaurus,10,2,392,0,0,failed
docusaurus,10,3,398,0,0,failed
docusaurus,100,1,385,0,0,failed
docusaurus,100,2,385,0,0,failed
docusaurus,100,3,375,0,0,failed
docusaurus,1000,1,392,0,0,failed
docusaurus,1000,2,405,0,0,failed
docusaurus,1000,3,383,0,0,failed
docusaurus,5000,1,553,0,0,failed
docusaurus,5000,2,371,0,0,failed
docusaurus,5000,3,391,0,0,failed
