ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status
hugo,minimal,1000,1,567,94672,1002,success
hugo,minimal,1000,2,506,92952,1002,success
hugo,minimal,1000,3,497,96232,1002,success
zola,minimal,1000,1,532,74468,1003,success
zola,minimal,1000,2,506,74324,1003,success
zola,minimal,1000,3,461,74696,1003,success
jekyll,minimal,1000,1,1570,78332,1002,success
jekyll,minimal,1000,2,1586,77900,1002,success
jekyll,minimal,1000,3,1720,78004,1002,success
hwaro,minimal,1000,1,486,70820,1002,success
hwaro,minimal,1000,2,476,70016,1002,success
hwaro,minimal,1000,3,488,71244,1002,success
eleventy,minimal,1000,1,1231,155300,1002,success
eleventy,minimal,1000,2,1225,160592,1002,success
eleventy,minimal,1000,3,1291,160908,1002,success
pelican,minimal,1000,1,1223,46176,1001,success
pelican,minimal,1000,2,1230,45912,1001,success
pelican,minimal,1000,3,1262,45792,1001,success
hexo,minimal,1000,1,1333,195472,1002,success
hexo,minimal,1000,2,1332,185052,1002,success
hexo,minimal,1000,3,1374,189600,1002,success
gatsby,minimal,1000,1,31815,3178744,1002,success
gatsby,minimal,1000,2,31128,3325332,1002,success
gatsby,minimal,1000,3,31507,3348008,1002,success
astro,minimal,1000,1,7437,775496,1001,success
astro,minimal,1000,2,7405,776416,1001,success
astro,minimal,1000,3,7138,773748,1001,success
docusaurus,minimal,1000,1,34155,3095632,1103,success
docusaurus,minimal,1000,2,34135,2965808,1103,success
docusaurus,minimal,1000,3,34036,3081952,1103,success
hugo,blog,1000,1,1158,180484,1113,success
hugo,blog,1000,2,1124,174840,1113,success
hugo,blog,1000,3,1111,169696,1113,success
zola,blog,1000,1,894,216688,1114,success
zola,blog,1000,2,919,216844,1114,success
zola,blog,1000,3,939,217352,1114,success
jekyll,blog,1000,1,2827,104292,1111,success
jekyll,blog,1000,2,2811,104740,1111,success
jekyll,blog,1000,3,2867,104720,1111,success
hwaro,blog,1000,1,571,73464,1112,success
hwaro,blog,1000,2,666,75496,1112,success
hwaro,blog,1000,3,599,73312,1112,success
eleventy,blog,1000,1,1556,189100,1111,success
eleventy,blog,1000,2,1521,189064,1111,success
eleventy,blog,1000,3,1602,187420,1111,success
pelican,blog,1000,1,2607,53876,1110,success
pelican,blog,1000,2,2598,53576,1110,success
pelican,blog,1000,3,2547,53764,1110,success
hexo,blog,1000,1,2045,320808,1111,success
hexo,blog,1000,2,2071,328868,1111,success
hexo,blog,1000,3,2047,322672,1111,success
hugo,heavy,1000,1,1355,188160,1113,success
hugo,heavy,1000,2,1295,186880,1113,success
hugo,heavy,1000,3,1304,182268,1113,success
zola,heavy,1000,1,27803,1112220,1114,success
zola,heavy,1000,2,28123,1111512,1114,success
zola,heavy,1000,3,28249,1111968,1114,success
jekyll,heavy,1000,1,3054,107600,1111,success
jekyll,heavy,1000,2,2969,107072,1111,success
jekyll,heavy,1000,3,3026,108028,1111,success
hwaro,heavy,1000,1,1512,75312,1112,success
hwaro,heavy,1000,2,1490,75096,1112,success
hwaro,heavy,1000,3,1670,77344,1112,success
eleventy,heavy,1000,1,2140,201124,1111,success
eleventy,heavy,1000,2,2165,203480,1111,success
eleventy,heavy,1000,3,2064,197852,1111,success
pelican,heavy,1000,1,2658,53900,1110,success
pelican,heavy,1000,2,2641,53908,1110,success
pelican,heavy,1000,3,2647,54312,1110,success
hexo,heavy,1000,1,2957,362812,1111,success
hexo,heavy,1000,2,3161,360728,1111,success
hexo,heavy,1000,3,2843,364460,1111,success
