ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,485,0,0,success
hugo,10,2,366,0,0,success
hugo,10,3,324,0,0,success
hugo,100,1,537,0,0,success
hugo,100,2,481,0,0,success
hugo,100,3,489,0,0,success
hugo,1000,1,2249,0,0,success
hugo,1000,2,2261,0,0,success
hugo,1000,3,2294,0,0,success
hugo,5000,1,10278,0,0,success
hugo,5000,2,10006,0,0,success
hugo,5000,3,10334,0,0,success
zola,10,1,357,0,0,success
zola,10,2,336,0,0,success
zola,10,3,267,0,0,success
zola,100,1,375,0,0,success
zola,100,2,345,0,0,success
zola,100,3,340,0,0,success
zola,1000,1,1206,0,0,success
zola,1000,2,1248,0,0,success
zola,1000,3,1124,0,0,success
zola,5000,1,5809,0,0,success
zola,5000,2,4954,0,0,success
zola,5000,3,5014,0,0,success
jekyll,10,1,867,0,0,success
jekyll,10,2,620,0,0,success
jekyll,10,3,604,0,0,success
jekyll,100,1,856,0,0,success
jekyll,100,2,911,0,0,success
jekyll,100,3,769,0,0,success
jekyll,1000,1,3673,0,0,success
jekyll,1000,2,2420,0,0,success
jekyll,1000,3,2685,0,0,success
jekyll,5000,1,12722,0,0,success
jekyll,5000,2,7922,0,0,success
jekyll,5000,3,7936,0,0,success
hwaro,10,1,324,0,0,success
hwaro,10,2,290,0,0,success
hwaro,10,3,272,0,0,success
hwaro,100,1,369,0,0,success
hwaro,100,2,385,0,0,success
hwaro,100,3,378,0,0,success
hwaro,1000,1,2187,0,0,success
hwaro,1000,2,1755,0,0,success
hwaro,1000,3,1460,0,0,success
hwaro,5000,1,6674,0,0,success
hwaro,5000,2,6169,0,0,success
hwaro,5000,3,6364,0,0,success
eleventy,10,1,818,0,0,success
eleventy,10,2,608,0,0,success
eleventy,10,3,695,0,0,success
eleventy,100,1,858,0,0,success
eleventy,100,2,839,0,0,success
eleventy,100,3,856,0,0,success
eleventy,1000,1,2766,0,0,success
eleventy,1000,2,2579,0,0,success
eleventy,1000,3,2516,0,0,success
eleventy,5000,1,11095,0,0,success
eleventy,5000,2,10680,0,0,success
eleventy,5000,3,10604,0,0,success
pelican,10,1,740,0,0,success
pelican,10,2,581,0,0,success
pelican,10,3,611,0,0,success
pelican,100,1,804,0,0,success
pelican,100,2,779,0,0,success
pelican,100,3,848,0,0,success
pelican,1000,1,2897,0,0,success
pelican,1000,2,2917,0,0,success
pelican,1000,3,2846,0,0,success
pelican,5000,1,13092,0,0,success
pelican,5000,2,13252,0,0,success
pelican,5000,3,12571,0,0,success
hexo,10,1,808,0,0,success
hexo,10,2,680,0,0,success
hexo,10,3,662,0,0,success
hexo,100,1,1028,0,0,success
hexo,100,2,847,0,0,success
hexo,100,3,848,0,0,success
hexo,1000,1,4513,0,0,success
hexo,1000,2,2695,0,0,success
hexo,1000,3,2583,0,0,success
hexo,5000,1,48076,0,0,success
hexo,5000,2,24616,0,0,success
hexo,5000,3,25155,0,0,success
gatsby,10,1,51171,0,0,success
gatsby,10,2,40157,0,0,success
gatsby,10,3,40933,0,0,success
gatsby,100,1,54254,0,0,success
gatsby,100,2,45639,0,0,success
gatsby,100,3,44748,0,0,success
gatsby,1000,1,61755,0,0,success
gatsby,1000,2,48937,0,0,success
gatsby,1000,3,50913,0,0,success
gatsby,5000,1,85741,0,0,success
gatsby,5000,2,72801,0,0,success
gatsby,5000,3,71984,0,0,success
astro,10,1,2878,0,0,success
astro,10,2,2507,0,0,success
astro,10,3,2579,0,0,success
astro,100,1,4353,0,0,success
astro,100,2,3825,0,0,success
astro,100,3,3842,0,0,success
astro,1000,1,15527,0,0,success
astro,1000,2,15764,0,0,success
astro,1000,3,15732,0,0,success
astro,5000,1,87852,0,0,success
astro,5000,2,87081,0,0,success
astro,5000,3,89982,0,0,success
docusaurus,10,1,2611,0,0,failed
docusaurus,10,2,2401,0,0,failed
docusaurus,10,3,2481,0,0,failed
docusaurus,100,1,2657,0,0,failed
docusaurus,100,2,2479,0,0,failed
docusaurus,100,3,2420,0,0,failed
docusaurus,1000,1,3283,0,0,failed
docusaurus,1000,2,2588,0,0,failed
docusaurus,1000,3,2496,0,0,failed
docusaurus,5000,1,4753,0,0,failed
docusaurus,5000,2,3245,0,0,failed
docusaurus,5000,3,3285,0,0,failed
