ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status
hugo,minimal,10,1,31,28504,12,success
hugo,minimal,10,2,32,29292,12,success
hugo,minimal,10,3,34,30532,12,success
hugo,minimal,100,1,68,36020,102,success
hugo,minimal,100,2,75,37344,102,success
hugo,minimal,100,3,72,37632,102,success
hugo,minimal,1000,1,503,99028,1002,success
hugo,minimal,1000,2,494,92904,1002,success
hugo,minimal,1000,3,500,89912,1002,success
zola,minimal,10,1,14,16860,13,success
zola,minimal,10,2,16,17400,13,success
zola,minimal,10,3,15,16824,13,success
zola,minimal,100,1,61,22184,103,success
zola,minimal,100,2,58,22236,103,success
zola,minimal,100,3,55,21884,103,success
zola,minimal,1000,1,454,74136,1003,success
zola,minimal,1000,2,467,73336,1003,success
zola,minimal,1000,3,501,73772,1003,success
hwaro,minimal,10,1,24,15124,12,success
hwaro,minimal,10,2,20,17968,12,success
hwaro,minimal,10,3,19,15292,12,success
hwaro,minimal,100,1,68,25148,102,success
hwaro,minimal,100,2,67,24600,102,success
hwaro,minimal,100,3,64,25180,102,success
hwaro,minimal,1000,1,819,58040,1002,success
hwaro,minimal,1000,2,565,57644,1002,success
hwaro,minimal,1000,3,457,58768,1002,success
jekyll,minimal,10,1,249,41980,12,success
jekyll,minimal,10,2,225,42344,12,success
jekyll,minimal,10,3,224,42288,12,success
jekyll,minimal,100,1,382,46652,102,success
jekyll,minimal,100,2,366,46948,102,success
jekyll,minimal,100,3,380,47280,102,success
jekyll,minimal,1000,1,1660,77484,1002,success
jekyll,minimal,1000,2,1578,78548,1002,success
jekyll,minimal,1000,3,1716,78052,1002,success
eleventy,minimal,10,1,211,71424,12,success
eleventy,minimal,10,2,215,69248,12,success
eleventy,minimal,10,3,238,71544,12,success
eleventy,minimal,100,1,323,87092,102,success
eleventy,minimal,100,2,322,86348,102,success
eleventy,minimal,100,3,325,81912,102,success
eleventy,minimal,1000,1,1209,155972,1002,success
eleventy,minimal,1000,2,1220,161488,1002,success
eleventy,minimal,1000,3,1230,157516,1002,success
pelican,minimal,10,1,156,34716,11,success
pelican,minimal,10,2,157,34552,11,success
pelican,minimal,10,3,157,34668,11,success
pelican,minimal,100,1,271,36436,101,success
pelican,minimal,100,2,259,35624,101,success
pelican,minimal,100,3,259,35588,101,success
pelican,minimal,1000,1,1318,44924,1001,success
pelican,minimal,1000,2,1231,45124,1001,success
pelican,minimal,1000,3,1261,45364,1001,success
hexo,minimal,10,1,277,48664,12,success
hexo,minimal,10,2,280,48736,12,success
hexo,minimal,10,3,268,49416,12,success
