ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status
hexo,minimal,100,1,428,76552,102,success
hexo,minimal,100,2,417,77004,102,success
hexo,minimal,100,3,423,77792,102,success
hexo,minimal,1000,1,1395,194192,1002,success
hexo,minimal,1000,2,1366,196080,1002,success
hexo,minimal,1000,3,1382,194936,1002,success
hugo,blog,10,1,37,29856,24,success
hugo,blog,10,2,39,30088,24,success
hugo,blog,10,3,37,31420,24,success
hugo,blog,100,1,99,36992,123,success
hugo,blog,100,2,86,38908,123,success
hugo,blog,100,3,85,38680,123,success
hugo,blog,1000,1,529,99240,1113,success
hugo,blog,1000,2,546,103292,1113,success
hugo,blog,1000,3,534,99052,1113,success
zola,blog,10,1,20,18448,25,success
zola,blog,10,2,20,18200,25,success
zola,blog,10,3,19,18708,25,success
zola,blog,100,1,71,23544,124,success
zola,blog,100,2,65,23340,124,success
zola,blog,100,3,65,23156,124,success
zola,blog,1000,1,492,75284,1114,success
zola,blog,1000,2,500,74992,1114,success
zola,blog,1000,3,478,75056,1114,success
hwaro,blog,10,1,26,16752,23,success
hwaro,blog,10,2,23,17084,23,success
hwaro,blog,10,3,30,16224,23,success
hwaro,blog,100,1,70,27460,122,success
hwaro,blog,100,2,74,29692,122,success
hwaro,blog,100,3,72,30676,122,success
hwaro,blog,1000,1,490,68684,1112,success
hwaro,blog,1000,2,482,68884,1112,success
hwaro,blog,1000,3,480,69828,1112,success
jekyll,blog,10,1,258,45384,22,success
jekyll,blog,10,2,259,45204,22,success
jekyll,blog,10,3,261,45604,22,success
jekyll,blog,100,1,412,54772,121,success
jekyll,blog,100,2,412,54280,121,success
jekyll,blog,100,3,415,54552,121,success
jekyll,blog,1000,1,1745,81448,1111,success
jekyll,blog,1000,2,2008,81320,1111,success
jekyll,blog,1000,3,1729,81400,1111,success
eleventy,blog,10,1,236,75688,22,success
eleventy,blog,10,2,245,75172,22,success
eleventy,blog,10,3,229,73852,22,success
eleventy,blog,100,1,368,100488,121,success
eleventy,blog,100,2,361,100648,121,success
eleventy,blog,100,3,375,102904,121,success
eleventy,blog,1000,1,1386,167992,1111,success
eleventy,blog,1000,2,1375,166164,1111,success
eleventy,blog,1000,3,1375,166520,1111,success
pelican,blog,10,1,165,34916,21,success
pelican,blog,10,2,157,34536,21,success
pelican,blog,10,3,165,35272,21,success
pelican,blog,100,1,269,35532,120,success
pelican,blog,100,2,291,35536,120,success
pelican,blog,100,3,268,35676,120,success
pelican,blog,1000,1,1309,45636,1110,success
pelican,blog,1000,2,1348,45512,1110,success
pelican,blog,1000,3,1360,45780,1110,success
hexo,blog,10,1,371,66532,22,success
hexo,blog,10,2,374,67160,22,success
hexo,blog,10,3,374,64908,22,success
hexo,blog,100,1,539,93512,121,success
hexo,blog,100,2,537,94312,121,success
hexo,blog,100,3,532,94348,121,success
hexo,blog,1000,1,1846,218172,1111,success
hexo,blog,1000,2,1826,220536,1111,success
hexo,blog,1000,3,1847,214792,1111,success
hugo,heavy,10,1,45,37672,24,success
hugo,heavy,10,2,47,36692,24,success
hugo,heavy,10,3,44,39916,24,success
hugo,heavy,100,1,149,52980,123,success
hugo,heavy,100,2,157,53988,123,success
hugo,heavy,100,3,143,50388,123,success
hugo,heavy,1000,1,1173,171072,1113,success
hugo,heavy,1000,2,1048,178580,1113,success
hugo,heavy,1000,3,1084,176616,1113,success
zola,heavy,10,1,174,139868,25,success
zola,heavy,10,2,166,140244,25,success
zola,heavy,10,3,185,140288,25,success
zola,heavy,100,1,230,145680,124,success
zola,heavy,100,2,252,145232,124,success
zola,heavy,100,3,249,147124,124,success
zola,heavy,1000,1,953,216908,1114,success
zola,heavy,1000,2,921,217248,1114,success
zola,heavy,1000,3,916,217132,1114,success
hwaro,heavy,10,1,34,24184,23,success
hwaro,heavy,10,2,32,21700,23,success
hwaro,heavy,10,3,32,24252,23,success
hwaro,heavy,100,1,90,32588,122,success
hwaro,heavy,100,2,82,32976,122,success
hwaro,heavy,100,3,88,31908,122,success
hwaro,heavy,1000,1,574,73184,1112,success
hwaro,heavy,1000,2,560,74316,1112,success
hwaro,heavy,1000,3,579,72548,1112,success
jekyll,heavy,10,1,354,63412,22,success
jekyll,heavy,10,2,380,63804,22,success
jekyll,heavy,10,3,353,64004,22,success
jekyll,heavy,100,1,599,71544,121,success
jekyll,heavy,100,2,615,70808,121,success
jekyll,heavy,100,3,594,70144,121,success
jekyll,heavy,1000,1,2864,104268,1111,success
jekyll,heavy,1000,2,3016,105044,1111,success
jekyll,heavy,1000,3,2901,104244,1111,success
eleventy,heavy,10,1,280,77020,22,success
eleventy,heavy,10,2,277,79128,22,success
eleventy,heavy,10,3,282,77112,22,success
eleventy,heavy,100,1,395,104132,121,success
eleventy,heavy,100,2,396,103708,121,success
eleventy,heavy,100,3,393,104484,121,success
eleventy,heavy,1000,1,1559,188988,1111,success
eleventy,heavy,1000,2,1575,185988,1111,success
eleventy,heavy,1000,3,1565,189700,1111,success
pelican,heavy,10,1,211,35528,21,success
pelican,heavy,10,2,203,35956,21,success
pelican,heavy,10,3,205,36140,21,success
pelican,heavy,100,1,441,37272,120,success
pelican,heavy,100,2,437,37236,120,success
pelican,heavy,100,3,430,37268,120,success
pelican,heavy,1000,1,2620,53828,1110,success
pelican,heavy,1000,2,2609,52740,1110,success
pelican,heavy,1000,3,2666,53280,1110,success
hexo,heavy,10,1,399,72948,22,success
hexo,heavy,10,2,423,74956,22,success
hexo,heavy,10,3,406,75212,22,success
hexo,heavy,100,1,585,107100,121,success
hexo,heavy,100,2,595,108608,121,success
hexo,heavy,100,3,578,107460,121,success
hexo,heavy,1000,1,2163,320340,1111,success
hexo,heavy,1000,2,2104,309104,1111,success
hexo,heavy,1000,3,2079,311996,1111,success
