ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,632,0,0,success
hugo,10,2,396,0,0,success
hugo,10,3,391,0,0,success
hugo,100,1,1096,0,0,success
hugo,100,2,1017,0,0,success
hugo,100,3,1091,0,0,success
hugo,1000,1,9579,0,0,success
hugo,1000,2,10144,0,0,success
hugo,1000,3,10455,0,0,success
hugo,5000,1,40080,0,0,success
hugo,5000,2,40705,0,0,success
hugo,5000,3,40003,0,0,success
zola,10,1,393,0,0,success
zola,10,2,296,0,0,success
zola,10,3,338,0,0,success
zola,100,1,614,0,0,success
zola,100,2,708,0,0,success
zola,100,3,711,0,0,success
zola,1000,1,4093,0,0,success
zola,1000,2,3996,0,0,success
zola,1000,3,4515,0,0,success
zola,5000,1,21560,0,0,success
zola,5000,2,21556,0,0,success
zola,5000,3,20655,0,0,success
jekyll,10,1,1357,0,0,success
jekyll,10,2,588,0,0,success
jekyll,10,3,640,0,0,success
jekyll,100,1,1787,0,0,success
jekyll,100,2,1311,0,0,success
jekyll,100,3,1369,0,0,success
jekyll,1000,1,10098,0,0,success
jekyll,1000,2,8281,0,0,success
jekyll,1000,3,8764,0,0,success
jekyll,5000,1,53570,0,0,success
jekyll,5000,2,41238,0,0,success
jekyll,5000,3,38462,0,0,success
hwaro,10,1,431,0,0,success
hwaro,10,2,281,0,0,success
hwaro,10,3,294,0,0,success
hwaro,100,1,790,0,0,success
hwaro,100,2,841,0,0,success
hwaro,100,3,811,0,0,success
hwaro,1000,1,5809,0,0,success
hwaro,1000,2,6785,0,0,success
hwaro,1000,3,6100,0,0,success
hwaro,5000,1,29454,0,0,success
hwaro,5000,2,30153,0,0,success
hwaro,5000,3,28874,0,0,success
eleventy,10,1,1065,0,0,success
eleventy,10,2,734,0,0,success
eleventy,10,3,685,0,0,success
eleventy,100,1,1690,0,0,success
eleventy,100,2,1430,0,0,success
eleventy,100,3,1450,0,0,success
eleventy,1000,1,9178,0,0,success
eleventy,1000,2,9180,0,0,success
eleventy,1000,3,9249,0,0,success
eleventy,5000,1,37441,0,0,success
eleventy,5000,2,40216,0,0,success
eleventy,5000,3,39994,0,0,success
pelican,10,1,876,0,0,success
pelican,10,2,599,0,0,success
pelican,10,3,612,0,0,success
pelican,100,1,1207,0,0,success
pelican,100,2,1122,0,0,success
pelican,100,3,1179,0,0,success
pelican,1000,1,7774,0,0,success
pelican,1000,2,6503,0,0,success
pelican,1000,3,6786,0,0,success
pelican,5000,1,30048,0,0,success
pelican,5000,2,28851,0,0,success
pelican,5000,3,29684,0,0,success
hexo,10,1,1869,0,0,success
hexo,10,2,1790,0,0,success
hexo,10,3,1715,0,0,success
hexo,100,1,2187,0,0,success
hexo,100,2,2075,0,0,success
hexo,100,3,2019,0,0,success
hexo,1000,1,8555,0,0,success
hexo,1000,2,6005,0,0,success
hexo,1000,3,6542,0,0,success
hexo,5000,1,64174,0,0,success
hexo,5000,2,37321,0,0,success
hexo,5000,3,37220,0,0,success
gatsby,10,1,110367,0,0,success
gatsby,10,2,109170,0,0,success
gatsby,10,3,115659,0,0,success
gatsby,100,1,119748,0,0,success
gatsby,100,2,103576,0,0,success
gatsby,100,3,117002,0,0,success
gatsby,1000,1,140630,0,0,success
gatsby,1000,2,123459,0,0,success
gatsby,1000,3,124135,0,0,success
gatsby,5000,1,191192,0,0,success
gatsby,5000,2,171786,0,0,success
gatsby,5000,3,185950,0,0,success
astro,10,1,7032,0,0,failed
astro,10,2,6579,0,0,failed
astro,10,3,5950,0,0,failed
astro,100,1,7028,0,0,failed
astro,100,2,5863,0,0,failed
astro,100,3,5836,0,0,failed
astro,1000,1,6697,0,0,failed
astro,1000,2,6410,0,0,failed
astro,1000,3,7343,0,0,failed
astro,5000,1,7726,0,0,failed
astro,5000,2,6162,0,0,failed
astro,5000,3,6627,0,0,failed
docusaurus,10,1,11166,0,0,failed
docusaurus,10,2,9667,0,0,failed
docusaurus,10,3,13589,0,0,failed
docusaurus,100,1,13828,0,0,failed
docusaurus,100,2,10535,0,0,failed
docusaurus,100,3,10904,0,0,failed
docusaurus,1000,1,11774,0,0,failed
docusaurus,1000,2,9161,0,0,failed
docusaurus,1000,3,9203,0,0,failed
docusaurus,5000,1,13912,0,0,failed
docusaurus,5000,2,10157,0,0,failed
docusaurus,5000,3,11773,0,0,failed
