ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,642,0,0,success
hugo,10,2,380,0,0,success
hugo,10,3,384,0,0,success
hugo,100,1,1143,0,0,success
hugo,100,2,1101,0,0,success
hugo,100,3,1078,0,0,success
hugo,1000,1,8190,0,0,success
hugo,1000,2,8839,0,0,success
hugo,1000,3,8784,0,0,success
hugo,5000,1,38092,0,0,success
hugo,5000,2,41169,0,0,success
hugo,5000,3,39773,0,0,success
zola,10,1,420,0,0,success
zola,10,2,392,0,0,success
zola,10,3,320,0,0,success
zola,100,1,734,0,0,success
zola,100,2,710,0,0,success
zola,100,3,714,0,0,success
zola,1000,1,4626,0,0,success
zola,1000,2,4937,0,0,success
zola,1000,3,4892,0,0,success
zola,5000,1,21518,0,0,success
zola,5000,2,21525,0,0,success
zola,5000,3,21549,0,0,success
jekyll,10,1,947,0,0,success
jekyll,10,2,625,0,0,success
jekyll,10,3,649,0,0,success
jekyll,100,1,1655,0,0,success
jekyll,100,2,1391,0,0,success
jekyll,100,3,1407,0,0,success
jekyll,1000,1,11408,0,0,success
jekyll,1000,2,8886,0,0,success
jekyll,1000,3,9482,0,0,success
jekyll,5000,1,50842,0,0,success
jekyll,5000,2,39447,0,0,success
jekyll,5000,3,39774,0,0,success
hwaro,10,1,324,0,0,success
hwaro,10,2,310,0,0,success
hwaro,10,3,321,0,0,success
hwaro,100,1,820,0,0,success
hwaro,100,2,832,0,0,success
hwaro,100,3,766,0,0,success
hwaro,1000,1,5710,0,0,success
hwaro,1000,2,5912,0,0,success
hwaro,1000,3,6038,0,0,success
hwaro,5000,1,28763,0,0,success
hwaro,5000,2,29568,0,0,success
hwaro,5000,3,29612,0,0,success
