ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,45,17132,12,success,10
zola,minimal,10,1,19,14848,13,success,10
jekyll,minimal,10,1,515,36676,12,success,10
hwaro,minimal,10,1,26,13560,12,success,10
eleventy,minimal,10,1,443,63336,12,success,10
pelican,minimal,10,1,316,31240,11,success,10
hexo,minimal,10,1,409,42588,12,success,10
zola,minimal,10,2,20,15112,13,success,10
jekyll,minimal,10,2,543,36916,12,success,10
hwaro,minimal,10,2,25,13952,12,success,10
eleventy,minimal,10,2,436,56380,12,success,10
pelican,minimal,10,2,322,31360,11,success,10
hexo,minimal,10,2,405,42352,12,success,10
hugo,minimal,10,2,43,15116,12,success,10
jekyll,minimal,10,3,522,37072,12,success,10
hwaro,minimal,10,3,25,13344,12,success,10
eleventy,minimal,10,3,446,60776,12,success,10
pelican,minimal,10,3,327,31100,11,success,10
hexo,minimal,10,3,407,42708,12,success,10
hugo,minimal,10,3,46,15744,12,success,10
zola,minimal,10,3,18,14868,13,success,10
hugo,minimal,100,1,74,23856,102,success,100
zola,minimal,100,1,47,19968,103,success,100
jekyll,minimal,100,1,577,40388,102,success,100
hwaro,minimal,100,1,47,21548,102,success,100
eleventy,minimal,100,1,549,67752,102,success,100
pelican,minimal,100,1,536,32384,101,success,100
hexo,minimal,100,1,654,74192,102,success,100
zola,minimal,100,2,45,20184,103,success,100
jekyll,minimal,100,2,580,40520,102,success,100
hwaro,minimal,100,2,50,22088,102,success,100
eleventy,minimal,100,2,542,68520,102,success,100
pelican,minimal,100,2,537,32020,101,success,100
hexo,minimal,100,2,666,74588,102,success,100
hugo,minimal,100,2,67,24320,102,success,100
jekyll,minimal,100,3,590,40692,102,success,100
hwaro,minimal,100,3,48,22000,102,success,100
eleventy,minimal,100,3,551,67312,102,success,100
pelican,minimal,100,3,546,32008,101,success,100
hexo,minimal,100,3,650,71120,102,success,100
hugo,minimal,100,3,68,21828,102,success,100
zola,minimal,100,3,44,20196,103,success,100
hugo,minimal,1000,1,328,80960,1002,success,1000
zola,minimal,1000,1,325,75664,1003,success,1000
jekyll,minimal,1000,1,1214,64192,1002,success,1000
hwaro,minimal,1000,1,428,53968,1002,success,1000
eleventy,minimal,1000,1,1511,146868,1002,success,1000
pelican,minimal,1000,1,2719,40852,1001,success,1000
hexo,minimal,1000,1,2497,223744,1002,success,1000
zola,minimal,1000,2,322,71680,1003,success,1000
jekyll,minimal,1000,2,1203,64088,1002,success,1000
hwaro,minimal,1000,2,381,53324,1002,success,1000
eleventy,minimal,1000,2,1484,151912,1002,success,1000
pelican,minimal,1000,2,2724,40704,1001,success,1000
hexo,minimal,1000,2,2428,217436,1002,success,1000
hugo,minimal,1000,2,329,92400,1002,success,1000
jekyll,minimal,1000,3,1230,63696,1002,success,1000
hwaro,minimal,1000,3,396,54252,1002,success,1000
